archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	4	4	0	1.000000
correctness	correctness	1	4	4	0	1.000000
edge-cases	correctness	1	5	4	1	0.800000
edge-cases	correctness	1	2	2	0	1.000000
testing	risk-integration	1	3	2	1	0.666667
testing	risk-integration	1	1	1	0	1.000000
dyn-oos-flow	correctness	1	5	5	0	1.000000
dyn-oos-flow-codex	correctness	1	0	0	0	n/a
dyn-issue-batch	risk-integration	1	5	5	0	1.000000
dyn-issue-batch-codex	risk-integration	1	0	0	0	n/a
