finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain
FINDING_1	cursor-specialist-correctness-output.txt	rejected	NO	partially-true	minor	adequate	false	NO	true	minor	adequate	false	NO	true	minor	good	false
FINDING_10	cursor-specialist-edge-cases-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	adequate	false	NO	partially-true	minor	adequate	false
FINDING_11	cursor-specialist-edge-cases-output.txt	neutral	NO	true	minor	adequate	false	YES	true	major	adequate	false	NO	true	minor	adequate	false
FINDING_12	codex-specialist-edge-cases-output.txt	accepted	YES	true	major	good	false	YES	true	blocker	good	false	YES	true	major	good	false
FINDING_13	codex-specialist-edge-cases-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_14	cursor-specialist-testing-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_15	cursor-specialist-testing-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_16	cursor-specialist-testing-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_17	cursor-specialist-testing-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_18	cursor-specialist-testing-output.txt	accepted	YES	true	major	good	false	YES	partially-true	minor	adequate	false	YES	true	major	good	false
FINDING_19	cursor-specialist-testing-output.txt	neutral	NO	true	minor	adequate	false	YES	true	major	adequate	false	NO	true	minor	adequate	false
FINDING_2	codex-specialist-correctness-output.txt	accepted	YES	true	blocker	good	false	YES	true	blocker	good	false	YES	true	blocker	good	false
FINDING_20	cursor-specialist-testing-output.txt	neutral	NO	true	nit	weak	false	NO	true	nit	adequate	false	YES	true	minor	adequate	false
FINDING_21	codex-specialist-testing-output.txt	neutral	NO	partially-true	minor	adequate	true	YES	true	major	good	false	NO	partially-true	minor	adequate	false
FINDING_22	codex-specialist-testing-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_23	codex-specialist-testing-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_24	dyn-review-provenance-output.txt	accepted	YES	true	major	excellent	false	YES	true	major	good	false	YES	true	blocker	good	false
FINDING_25	dyn-review-provenance-output.txt	rejected	NO	partially-true	minor	adequate	false	NO	partially-true	minor	adequate	false	NO	partially-true	minor	good	false
FINDING_26	dyn-review-provenance-output.txt	rejected	NO	partially-true	minor	adequate	false	NO	true	minor	adequate	false	NO	true	minor	good	false
FINDING_27	dyn-review-provenance-output.txt	accepted	YES	true	major	good	false	YES	true	blocker	good	false	YES	true	blocker	good	false
FINDING_28	dyn-review-provenance-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	NO	partially-true	minor	adequate	false
FINDING_29	dyn-review-provenance-output.txt	neutral	NO	true	minor	adequate	false	YES	true	major	adequate	false	NO	true	minor	adequate	false
FINDING_3	codex-specialist-correctness-output.txt	neutral	NO	partially-true	minor	adequate	true	YES	true	major	good	false	NO	partially-true	minor	adequate	false
FINDING_30	dyn-review-provenance-output.txt	rejected	NO	true	minor	no-fix	false	NO	false-positive	nit	no-fix	false	NO	true	nit	no-fix	false
FINDING_31	dyn-review-provenance-output.txt	rejected	NO	true	minor	no-fix	false	NO	false-positive	nit	no-fix	false	NO	true	nit	no-fix	false
FINDING_32	dyn-shell-flow-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	NO	partially-true	minor	adequate	false
FINDING_33	dyn-shell-flow-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_34	dyn-shell-flow-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	blocker	good	false
FINDING_35	dyn-shell-flow-output.txt	rejected	NO	partially-true	minor	adequate	false	NO	partially-true	minor	weak	false	NO	partially-true	minor	adequate	false
FINDING_36	dyn-shell-flow-output.txt	rejected	NO	true	nit	adequate	false	NO	true	nit	good	false	NO	true	nit	adequate	false
FINDING_37	dyn-shell-flow-output.txt	rejected	NO	true	minor	adequate	false	NO	true	major	adequate	false	NO	true	minor	adequate	false
FINDING_38	dyn-shell-flow-output.txt	rejected	NO	true	minor	no-fix	false	NO	false-positive	nit	no-fix	false	NO	true	nit	no-fix	false
FINDING_39	dyn-shell-flow-output.txt	rejected	NO	true	minor	no-fix	false	NO	true	minor	weak	false	NO	partially-true	nit	weak	false
FINDING_4	codex-specialist-correctness-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_40	dyn-regression-surface-output.txt	rejected	NO	true	minor	adequate	false	NO	true	major	adequate	false	NO	true	minor	good	false
FINDING_41	dyn-regression-surface-output.txt	accepted	NO	false-positive	minor	adequate	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_42	dyn-regression-surface-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_43	dyn-regression-surface-output.txt	rejected	NO	partially-true	minor	adequate	false	NO	partially-true	minor	good	false	NO	partially-true	minor	good	false
FINDING_44	dyn-regression-surface-output.txt	accepted	YES	true	major	good	false	YES	true	blocker	good	false	YES	true	blocker	good	false
FINDING_45	dyn-regression-surface-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_46	dyn-regression-surface-output.txt	accepted	YES	true	minor	adequate	false	YES	true	minor	adequate	false	YES	true	minor	adequate	false
FINDING_47	dyn-regression-surface-output.txt	rejected	NO	true	nit	weak	false	NO	true	nit	adequate	false	NO	true	nit	weak	false
FINDING_5	codex-specialist-correctness-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_6	codex-specialist-correctness-output.txt	rejected	NO	partially-true	minor	adequate	false	NO	true	minor	adequate	false	NO	true	nit	adequate	false
FINDING_7	cursor-specialist-edge-cases-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	adequate	false	YES	true	major	good	false
