finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain
FINDING_1	cursor-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|dyn-env-contract-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_10	cursor-specialist-testing-output.txt	rejected	NO	true	nit	adequate	false	NO	true	minor	good	false	NO	true	nit	adequate	false
FINDING_11	dyn-routing-fidelity-output.txt	neutral	NO	partially-true	minor	adequate	false	NO	true	minor	adequate	false	YES	true	major	good	false
FINDING_12	dyn-routing-fidelity-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_13	dyn-env-contract-output.txt	neutral	NO	true	minor	adequate	false	NO	true	minor	good	false	YES	true	major	adequate	false
FINDING_14	dyn-env-contract-output.txt	neutral	NO	partially-true	minor	adequate	false	NO	true	minor	adequate	false	YES	true	major	good	false
FINDING_15	dyn-shell-legacy-output.txt	accepted	YES	true	major	adequate	false	NO	partially-true	minor	weak	false	YES	true	major	good	false
FINDING_16	dyn-shell-legacy-output.txt	accepted	YES	true	major	good	false	NO	true	minor	good	false	YES	true	major	good	false
FINDING_2	codex-specialist-correctness-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_3	codex-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|cursor-specialist-testing-output.txt|dyn-shell-legacy-output.txt	neutral	NO	true	minor	adequate	false	NO	partially-true	minor	good	false	YES	true	major	good	false
FINDING_4	codex-specialist-correctness-output.txt	rejected	NO	true	nit	adequate	false	NO	true	minor	good	false	NO	true	minor	adequate	false
FINDING_5	cursor-specialist-edge-cases-output.txt	accepted	YES	true	major	adequate	false	NO	partially-true	minor	adequate	false	YES	true	major	good	false
FINDING_6	cursor-specialist-edge-cases-output.txt|codex-specialist-testing-output.txt|dyn-routing-fidelity-output.txt|dyn-env-contract-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_7	codex-specialist-edge-cases-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	blocker	good	false
FINDING_8	cursor-specialist-testing-output.txt	accepted	NO	true	minor	adequate	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_9	cursor-specialist-testing-output.txt	accepted	NO	true	minor	adequate	false	YES	partially-true	major	good	false	YES	true	major	good	false
OOS_1	cursor-specialist-edge-cases-output.txt	neutral	NO	true	nit	adequate	false	NO	true	nit	adequate	false	YES	true	minor	adequate	false
OOS_2	cursor-specialist-edge-cases-output.txt	accepted	NO	true	nit	adequate	false	YES	partially-true	major	adequate	false	YES	true	minor	adequate	false
OOS_3	dyn-routing-fidelity-output.txt	rejected	NO	true	nit	no-fix	false	NO	true	nit	no-fix	false	NO	true	nit	no-fix	false
OOS_4	dyn-routing-fidelity-output.txt|dyn-shell-legacy-output.txt	rejected	NO	true	nit	no-fix	false	NO	true	nit	adequate	false	NO	true	nit	adequate	false
OOS_5	dyn-routing-fidelity-output.txt|dyn-env-contract-output.txt	rejected	NO	true	nit	adequate	false	NO	true	nit	adequate	false	NO	true	nit	adequate	false
OOS_6	dyn-shell-legacy-output.txt	rejected	NO	true	nit	adequate	false	NO	true	nit	adequate	false	NO	true	nit	no-fix	false
OOS_7	dyn-shell-legacy-output.txt	rejected	NO	true	nit	adequate	false	NO	true	nit	no-fix	false	NO	true	nit	no-fix	false
