archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
structure	code-quality	1	6	6	0	1.000000
correctness	correctness	1	4	4	0	1.000000
testing	risk-integration	1	5	3	1	0.600000
security	security	1	3	3	0	1.000000
edge-cases	correctness	1	5	5	0	1.000000
plan-fidelity	architecture	1	5	3	0	0.600000
dyn-scope-flow	risk-integration	1	3	2	0	0.666667
dyn-prompt-boundary	security	1	0	0	0	n/a
dyn-ship-cutover	architecture	1	2	2	0	1.000000
dyn-bash-contracts	correctness	1	3	3	0	1.000000
dyn-docs-contracts	risk-integration	1	4	4	0	1.000000
