archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
structure	code-quality	1	7	4	0	0.571429
correctness	correctness	1	1	1	0	1.000000
testing	risk-integration	1	8	7	0	0.875000
security	security	1	2	1	0	0.500000
edge-cases	correctness	1	1	1	0	1.000000
plan-fidelity	architecture	1	5	4	0	0.800000
dyn-scope-flow	risk-integration	1	3	2	0	0.666667
dyn-marker-flow	correctness	1	4	4	0	1.000000
dyn-prompt-sandbox	security	1	3	3	0	1.000000
dyn-bash-portability	code-quality	1	5	2	0	0.400000
dyn-compat-mode	architecture	1	4	4	0	1.000000
