finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain
FINDING_1	cursor-specialist-correctness-output.txt|dyn-code-robustness-output.txt|dyn-dep-resolution-output.txt	neutral	NO	true	minor	no-fix	false	NO	true	minor	adequate	false	YES	true	major	good	false
FINDING_10	cursor-specialist-testing-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	adequate	false	NO	true	minor	good	false
FINDING_11	cursor-specialist-testing-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	adequate	false	NO	partially-true	minor	good	false
FINDING_12	cursor-specialist-testing-output.txt	rejected	NO	true	nit	adequate	false	NO	partially-true	minor	adequate	false	NO	partially-true	minor	adequate	false
FINDING_13	cursor-specialist-testing-output.txt	rejected	NO	true	nit	adequate	false	NO	true	nit	adequate	false	NO	partially-true	nit	adequate	false
FINDING_14	cursor-specialist-testing-output.txt	rejected	NO	true	nit	adequate	false	NO	true	nit	adequate	false	NO	partially-true	nit	adequate	false
FINDING_15	dyn-code-robustness-output.txt|dyn-duplication-review-output.txt	rejected	NO	true	nit	adequate	false	NO	true	minor	adequate	false	NO	partially-true	minor	good	false
FINDING_16	dyn-code-robustness-output.txt	rejected	NO	true	nit	weak	false	NO	true	nit	adequate	false	NO	true	nit	weak	false
FINDING_17	dyn-code-robustness-output.txt	rejected	NO	true	nit	weak	false	NO	true	nit	adequate	false	NO	true	nit	adequate	false
FINDING_18	dyn-dep-resolution-output.txt	accepted	NO	true	minor	adequate	false	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_19	dyn-dep-resolution-output.txt	rejected	NO	false-positive	minor	adequate	false	NO	partially-true	minor	weak	false	NO	false-positive	minor	weak	false
FINDING_2	cursor-specialist-correctness-output.txt	neutral	NO	partially-true	minor	weak	false	NO	true	minor	adequate	false	YES	true	major	good	false
FINDING_20	dyn-dep-resolution-output.txt	rejected	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false
FINDING_21	dyn-dep-resolution-output.txt	rejected	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false
FINDING_22	dyn-dep-resolution-output.txt	rejected	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false
FINDING_23	dyn-dep-resolution-output.txt	rejected	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false
FINDING_24	dyn-dep-resolution-output.txt|dyn-duplication-review-output.txt	neutral	YES	true	nit	adequate	false	NO	true	nit	adequate	false	NO	true	nit	adequate	false
FINDING_25	dyn-duplication-review-output.txt	neutral	YES	true	nit	adequate	false	NO	true	nit	adequate	false	NO	true	nit	adequate	false
FINDING_3	cursor-specialist-correctness-output.txt	rejected	NO	false-positive	minor	weak	false	NO	true	minor	adequate	false	NO	true	minor	adequate	false
FINDING_4	cursor-specialist-correctness-output.txt	rejected	NO	false-positive	minor	weak	false	NO	true	minor	adequate	false	NO	true	minor	adequate	false
FINDING_5	cursor-specialist-correctness-output.txt	rejected	NO	true	nit	adequate	false	NO	partially-true	nit	adequate	false	NO	true	nit	adequate	false
FINDING_6	cursor-specialist-correctness-output.txt	neutral	NO	true	nit	weak	false	YES	true	minor	adequate	false	NO	partially-true	minor	adequate	false
FINDING_7	cursor-specialist-correctness-output.txt|cursor-specialist-testing-output.txt|dyn-duplication-review-output.txt	neutral	YES	true	minor	adequate	false	NO	true	nit	adequate	false	NO	true	nit	weak	false
FINDING_8	cursor-specialist-correctness-output.txt	rejected	NO	true	minor	weak	false	NO	partially-true	minor	adequate	false	NO	partially-true	minor	weak	false
FINDING_9	cursor-specialist-edge-cases-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	adequate	false	YES	true	blocker	excellent	false
