finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain
FINDING_1	cursor-specialist-structure-output.txt|cursor-specialist-correctness-output.txt|cursor-specialist-testing-output.txt|cursor-specialist-edge-cases-output.txt|cursor-specialist-plan-fidelity-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_10	dyn-extract-patch-awk-output.txt	accepted	YES	true	major	adequate	false	YES	true	minor	adequate	false	YES	true	major	good	false
FINDING_11	dyn-artifact-overwrite-observability-output.txt	accepted	EXONERATE	true	minor	adequate	false	YES	true	major	adequate	false	YES	true	major	adequate	false
FINDING_12	dyn-artifact-overwrite-observability-output.txt	accepted	EXONERATE	partially-true	minor	adequate	false	YES	true	minor	adequate	false	YES	true	major	good	false
FINDING_13	cursor-specialist-structure-output.txt|dyn-artifact-overwrite-observability-output.txt	accepted	JUDGE_ERROR				true	YES	true	nit	adequate	false	YES	true	nit	good	false
FINDING_14	cursor-specialist-structure-output.txt|cursor-specialist-correctness-output.txt	neutral	JUDGE_ERROR				true	NO	false-positive	nit	weak	false	YES	true	nit	good	false
FINDING_15	cursor-specialist-security-output.txt	exonerated	JUDGE_ERROR				true	EXONERATE	partially-true	nit	no-fix	false	EXONERATE	true	nit	weak	false
FINDING_16	cursor-specialist-security-output.txt	exonerated	JUDGE_ERROR				true	NO	false-positive	nit	weak	false	EXONERATE	true	nit	adequate	false
FINDING_17	dyn-fallback-state-isolation-output.txt|dyn-merge-tier4-coverage-output.txt	exonerated	JUDGE_ERROR				true	EXONERATE	partially-true	nit	weak	false	YES	true	nit	good	false
FINDING_2	cursor-specialist-structure-output.txt|cursor-specialist-correctness-output.txt|cursor-specialist-testing-output.txt|cursor-specialist-plan-fidelity-output.txt|dyn-fallback-state-isolation-output.txt|dyn-merge-tier4-coverage-output.txt|dyn-artifact-overwrite-observability-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_3	cursor-specialist-structure-output.txt|cursor-specialist-testing-output.txt|dyn-artifact-overwrite-observability-output.txt	accepted	YES	true	major	adequate	false	YES	true	minor	adequate	false	YES	true	major	good	false
FINDING_4	cursor-specialist-structure-output.txt|cursor-specialist-plan-fidelity-output.txt|dyn-fallback-state-isolation-output.txt|dyn-merge-tier4-coverage-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_5	cursor-specialist-correctness-output.txt|cursor-specialist-testing-output.txt	accepted	EXONERATE	partially-true	minor	adequate	false	YES	true	minor	adequate	false	YES	true	major	adequate	false
FINDING_6	cursor-specialist-correctness-output.txt|cursor-specialist-testing-output.txt	exonerated	EXONERATE	partially-true	minor	adequate	false	EXONERATE	partially-true	nit	weak	false	YES	true	minor	adequate	false
FINDING_7	cursor-specialist-testing-output.txt	accepted	YES	true	minor	adequate	false	YES	true	minor	adequate	false	YES	true	minor	good	false
FINDING_8	dyn-extract-patch-awk-output.txt	accepted	YES	true	major	adequate	false	YES	true	minor	adequate	false	YES	true	major	good	false
FINDING_9	dyn-extract-patch-awk-output.txt	accepted	YES	true	major	adequate	false	YES	true	minor	adequate	false	YES	true	major	good	false
