archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
structure	code-quality	1	7	5	0	0.714286
correctness	correctness	1	4	4	0	1.000000
testing	risk-integration	1	8	7	0	0.875000
security	security	1	0	0	0	n/a
edge-cases	correctness	1	5	3	0	0.600000
plan-fidelity	architecture	1	4	3	0	0.750000
dyn-awk-extraction	correctness	1	5	4	1	0.800000
dyn-tier4-state	architecture	1	0	0	0	n/a
dyn-candidate-lifecycle	risk-integration	1	2	2	0	1.000000
dyn-harness-equivalence	code-quality	1	5	5	0	1.000000
