finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain
FINDING_1	cursor-specialist-structure-output.txt|cursor-specialist-correctness-output.txt	accepted	YES	true	major	adequate	false	YES	true	minor	adequate	false	YES	true	minor	adequate	false
FINDING_10	cursor-specialist-correctness-output.txt	rejected	YES	true	minor	adequate	false	NO	partially-true	nit	weak	false	NO	false-positive		no-fix	true
FINDING_11	cursor-specialist-correctness-output.txt	exonerated	EXONERATE	partially-true	nit	weak	false	EXONERATE	true	nit	adequate	false	EXONERATE	partially-true	nit	adequate	false
FINDING_12	cursor-specialist-testing-output.txt	exonerated	EXONERATE	true	minor	weak	false	EXONERATE	true	minor	weak	false	YES	true		adequate	true
FINDING_13	cursor-specialist-testing-output.txt	accepted	YES	true	minor	adequate	false	YES	true	minor	adequate	false	YES	true		adequate	true
FINDING_14	cursor-specialist-testing-output.txt	exonerated	YES	true	minor	adequate	false	EXONERATE	partially-true	nit	weak	false	EXONERATE	partially-true	nit	weak	false
FINDING_15	cursor-specialist-testing-output.txt	exonerated	EXONERATE	partially-true	nit	weak	false	EXONERATE	partially-true	nit	weak	false	EXONERATE	true	nit	weak	false
FINDING_16	cursor-specialist-testing-output.txt	exonerated	YES	true	nit	adequate	false	EXONERATE	true	nit	weak	false	EXONERATE	partially-true	nit	weak	false
FINDING_17	cursor-specialist-security-output.txt	accepted	YES	true	minor	adequate	false	YES	true	minor	adequate	false	NO	false-positive		no-fix	true
FINDING_18	cursor-specialist-security-output.txt	exonerated	EXONERATE	true	nit	adequate	false	EXONERATE	true	nit	weak	false	NO	false-positive		no-fix	true
FINDING_19	cursor-specialist-security-output.txt	neutral	EXONERATE	partially-true	nit	weak	false	YES	true	minor	adequate	false	NO	false-positive	nit	no-fix	false
FINDING_2	cursor-specialist-structure-output.txt	exonerated	EXONERATE	partially-true	minor	adequate	false	EXONERATE	true	nit	weak	false	EXONERATE	partially-true	nit	adequate	false
FINDING_20	cursor-specialist-security-output.txt	accepted	YES	true	minor	adequate	false	YES	true	minor	adequate	false	YES	true		adequate	true
FINDING_21	cursor-specialist-edge-cases-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_22	cursor-specialist-edge-cases-output.txt	accepted	YES	true	minor	adequate	false	YES	true	major	adequate	false	YES	true	major	adequate	false
FINDING_23	cursor-specialist-edge-cases-output.txt	accepted	YES	true	minor	adequate	false	YES	true	minor	adequate	false	EXONERATE	true		adequate	true
FINDING_24	cursor-specialist-edge-cases-output.txt	exonerated	EXONERATE	partially-true	nit	adequate	false	EXONERATE	partially-true	minor	weak	false	NO	false-positive		no-fix	true
FINDING_25	cursor-specialist-edge-cases-output.txt	exonerated	YES	true	minor	adequate	false	EXONERATE	true	nit	weak	false	EXONERATE	true	nit	weak	false
FINDING_26	cursor-specialist-edge-cases-output.txt	accepted	YES	true	nit	adequate	false	YES	true	minor	adequate	false	YES	true	nit	good	false
FINDING_27	cursor-specialist-plan-fidelity-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	adequate	false	YES	true	major	adequate	false
FINDING_3	cursor-specialist-structure-output.txt|cursor-specialist-testing-output.txt	accepted	YES	true	major	adequate	false	YES	true	minor	good	false	EXONERATE	partially-true	nit	adequate	false
FINDING_4	cursor-specialist-structure-output.txt	exonerated	EXONERATE	partially-true	nit	weak	false	EXONERATE	true	minor	weak	false	YES	true	minor	adequate	false
FINDING_5	cursor-specialist-structure-output.txt|cursor-specialist-security-output.txt	accepted	YES	true	major	adequate	false	YES	true	minor	adequate	false	YES	true	minor	good	false
FINDING_6	cursor-specialist-structure-output.txt	exonerated	EXONERATE	partially-true	nit	weak	false	EXONERATE	true	nit	weak	false	NO	false-positive	nit	no-fix	false
FINDING_7	cursor-specialist-structure-output.txt	accepted	YES	true	nit	adequate	false	EXONERATE	true	nit	weak	false	YES	true	nit	adequate	false
FINDING_8	cursor-specialist-correctness-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	adequate	false	NO	false-positive		no-fix	true
FINDING_9	cursor-specialist-correctness-output.txt	rejected	YES	true	minor	adequate	false	NO	false-positive	nit	weak	false	NO	false-positive		no-fix	true
