archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	0	0	0	n/a
correctness	correctness	1	0	0	0	n/a
edge-cases	correctness	1	0	0	0	n/a
edge-cases	correctness	1	0	0	0	n/a
testing	risk-integration	1	0	0	0	n/a
testing	risk-integration	1	0	0	0	n/a
dyn-review-gate	correctness	1	0	0	0	n/a
dyn-review-gate-codex	correctness	1	0	0	0	n/a
dyn-summary-signal	risk-integration	1	6	0	6	0.000000
dyn-summary-signal-codex	risk-integration	1	0	0	0	n/a
dyn-log-forensics	architecture	1	0	0	0	n/a
dyn-log-forensics-codex	architecture	1	0	0	0	n/a
