round	tool	slot	label	accepted_count	rejected_count	total_count
1	cursor	correctness	cursor-specialist-correctness-output.txt	0	4	4
1	codex	correctness	codex-specialist-correctness-output.txt	0	0	0
1	cursor	edge-cases	cursor-specialist-edge-cases-output.txt	0	6	6
1	codex	edge-cases	codex-specialist-edge-cases-output.txt	0	0	0
1	cursor	testing	cursor-specialist-testing-output.txt	0	5	5
1	codex	testing	codex-specialist-testing-output.txt	1	0	1
1	cursor	dyn-cwd-callsite-audit	dyn-cwd-callsite-audit-output.txt	0	7	7
1	codex	dyn-cwd-callsite-audit-codex	dyn-cwd-callsite-audit-codex-output.txt	0	0	0
1	cursor	dyn-violation-counter-threading	dyn-violation-counter-threading-output.txt	0	5	5
1	codex	dyn-violation-counter-threading-codex	dyn-violation-counter-threading-codex-output.txt	0	0	0
