archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	1	0	1	0.000000
correctness	correctness	1	0	0	0	n/a
edge-cases	correctness	1	0	0	0	n/a
edge-cases	correctness	1	0	0	0	n/a
testing	risk-integration	1	0	0	0	n/a
testing	risk-integration	1	1	1	0	1.000000
dyn-cwd-callsite-audit	architecture	1	2	0	2	0.000000
dyn-cwd-callsite-audit-codex	architecture	1	0	0	0	n/a
dyn-violation-counter-threading	correctness	1	2	0	2	0.000000
dyn-violation-counter-threading-codex	correctness	1	0	0	0	n/a
