finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain
FINDING_1	cursor-specialist-correctness-output.txt|codex-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|codex-specialist-edge-cases-output.txt|codex-specialist-testing-output.txt	accepted	YES	true	blocker	adequate	false	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_10	cursor-specialist-edge-cases-output.txt	accepted	NO	uncertain	major	adequate	true	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_11	codex-specialist-edge-cases-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_12	codex-specialist-edge-cases-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	adequate	false	NO	false-positive	minor	adequate	false
FINDING_13	cursor-specialist-testing-output.txt	neutral	NO	partially-true	major	weak	false	YES	true	major	adequate	false	NO	partially-true	minor	weak	false
FINDING_14	cursor-specialist-testing-output.txt	rejected	NO	partially-true	minor	adequate	false	NO	true	minor	adequate	false	NO	partially-true	minor	adequate	false
FINDING_15	cursor-specialist-testing-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_16	cursor-specialist-testing-output.txt	rejected	NO	partially-true	minor	adequate	false	NO	true	minor	adequate	false	NO	partially-true	nit	adequate	false
FINDING_17	cursor-specialist-testing-output.txt	rejected	NO	true	minor	adequate	false	NO	true	nit	weak	false	NO	partially-true	nit	weak	false
FINDING_18	cursor-specialist-testing-output.txt	rejected	NO	uncertain	minor	adequate	true	NO	partially-true	minor	weak	false	NO	uncertain	minor	weak	true
FINDING_19	cursor-specialist-testing-output.txt	accepted	NO	partially-true	nit	weak	true	YES	true	minor	adequate	false	YES	true	minor	adequate	false
FINDING_2	codex-specialist-correctness-output.txt|codex-specialist-testing-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_20	cursor-specialist-testing-output.txt	rejected	NO	true	nit	weak	false	NO	partially-true	nit	weak	false	NO	partially-true	nit	weak	false
FINDING_21	codex-specialist-testing-output.txt	accepted	YES	true	blocker	adequate	false	YES	true	blocker	adequate	false	YES	true	major	excellent	false
FINDING_3	codex-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|codex-specialist-testing-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_4	codex-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|codex-specialist-edge-cases-output.txt|codex-specialist-testing-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	adequate	false	YES	true	major	adequate	false
FINDING_5	codex-specialist-correctness-output.txt|codex-specialist-edge-cases-output.txt|codex-specialist-testing-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_6	codex-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|codex-specialist-testing-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	adequate	false	YES	true	major	adequate	false
FINDING_7	codex-specialist-correctness-output.txt	neutral	YES	true	major	adequate	false	NO	true	minor	adequate	false	NO	partially-true	minor	adequate	false
FINDING_8	codex-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|codex-specialist-edge-cases-output.txt	accepted	YES	true	major	adequate	true	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_9	cursor-specialist-edge-cases-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	adequate	false	YES	true	major	good	false
