archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	1	0	0	0.000000
correctness	correctness	1	0	0	0	n/a
edge-cases	correctness	1	0	0	0	n/a
edge-cases	correctness	1	0	0	0	n/a
testing	risk-integration	1	0	0	0	n/a
testing	risk-integration	1	0	0	0	n/a
dyn-symilar-parity	correctness	1	1	1	0	1.000000
dyn-symilar-parity-codex	correctness	1	0	0	0	n/a
dyn-parallel-pairs	risk-integration	1	0	0	0	n/a
dyn-parallel-pairs-codex	risk-integration	1	0	0	0	n/a
dyn-lint-surface	architecture	1	0	0	0	n/a
dyn-lint-surface-codex	architecture	1	0	0	0	n/a
