round	tool	slot	label	accepted_count
1	cursor	security	cursor-specialist-security-output.txt	3
1	codex	security	codex-specialist-security-output.txt	3
1	cursor	correctness	cursor-specialist-correctness-output.txt	2
1	codex	correctness	codex-specialist-correctness-output.txt	2
1	cursor	edge-cases	cursor-specialist-edge-cases-output.txt	3
1	codex	edge-cases	codex-specialist-edge-cases-output.txt	3
1	cursor	testing	cursor-specialist-testing-output.txt	2
1	codex	testing	codex-specialist-testing-output.txt	1
1	cursor	dyn-risk-integration	dyn-risk-integration-output.txt	1
1	codex	dyn-risk-integration-codex	dyn-ri<REDACTED-TOKEN>.txt	0
1	cursor	dyn-architecture	dyn-architecture-output.txt	2
1	codex	dyn-architecture-codex	dyn-architecture-codex-output.txt	0
