archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	5	1	3	0.200000
correctness	correctness	1	1	1	0	1.000000
edge-cases	correctness	1	3	1	2	0.333333
edge-cases	correctness	1	2	2	0	1.000000
testing	risk-integration	1	1	1	0	1.000000
testing	risk-integration	1	2	2	0	1.000000
dyn-delta-scope	risk-integration	1	3	2	1	0.666667
dyn-delta-scope-codex	risk-integration	1	0	0	0	n/a
dyn-ci-selfheal	correctness	1	0	0	0	n/a
dyn-ci-selfheal-codex	correctness	1	0	0	0	n/a
