finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain
FINDING_1	cursor-specialist-structure-output.txt|cursor-specialist-correctness-output.txt|cursor-specialist-plan-fidelity-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_10	cursor-specialist-plan-fidelity-output.txt	accepted	YES	true	minor	adequate	false	YES	true		good	true	YES	true	minor	good	false
FINDING_11	cursor-specialist-plan-fidelity-output.txt	exonerated	EXONERATE	partially-true	nit	adequate	false	EXONERATE	true	nit	adequate	false	EXONERATE	true	nit	adequate	false
FINDING_2	cursor-specialist-correctness-output.txt|cursor-specialist-security-output.txt	exonerated	EXONERATE	partially-true	minor	adequate	false	EXONERATE	partially-true	minor	weak	false	EXONERATE	true	minor	weak	false
FINDING_3	cursor-specialist-correctness-output.txt	rejected	YES	true	minor	adequate	false	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false
FINDING_4	cursor-specialist-correctness-output.txt	accepted	NO	false-positive	nit	adequate	false	YES	true	nit	excellent	false	YES	true	nit	excellent	false
FINDING_5	cursor-specialist-correctness-output.txt	accepted	YES	true	nit	adequate	false	EXONERATE	partially-true	nit	weak	false	YES	true	nit	adequate	false
FINDING_6	cursor-specialist-testing-output.txt	accepted	NO	false-positive	uncertain	adequate	false	YES	true		good	true	YES	true	major	good	false
FINDING_7	cursor-specialist-edge-cases-output.txt	exonerated	EXONERATE	partially-true	minor	adequate	false	EXONERATE	true	minor	weak	false	YES	partially-true	major	adequate	false
FINDING_8	cursor-specialist-edge-cases-output.txt	accepted	EXONERATE	partially-true	nit	adequate	false	YES	true	minor	excellent	false	YES	partially-true	minor	good	false
FINDING_9	cursor-specialist-edge-cases-output.txt	accepted	YES	true	nit	adequate	false	YES	true	nit	good	false	YES	true	nit	good	false
OOS_1	cursor-specialist-correctness-output.txt	exonerated	EXONERATE	partially-true	nit	no-fix	false	EXONERATE	true	nit	no-fix	false	EXONERATE	true	nit	no-fix	false
OOS_2	cursor-specialist-plan-fidelity-output.txt	exonerated	EXONERATE	true	nit	no-fix	false	EXONERATE	true	nit	weak	false	EXONERATE	true	nit	no-fix	false
