finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain
FINDING_1	cursor-specialist-security-output.txt|dyn-writer-guard-output.txt|dyn-module-boundary-output.txt	accepted	YES	true	major	adequate	false	NO	false-positive	minor	weak	false	YES	true	major	good	false
FINDING_10	cursor-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt	accepted	YES	partially-true	major	adequate	true	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_11	cursor-specialist-correctness-output.txt|cursor-specialist-testing-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	adequate	false	YES	true	blocker	excellent	false
FINDING_12	cursor-specialist-correctness-output.txt|cursor-specialist-testing-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	adequate	false	YES	true	blocker	excellent	false
FINDING_13	cursor-specialist-correctness-output.txt|cursor-specialist-testing-output.txt|dyn-parity-drift-output.txt|dyn-module-boundary-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_14	cursor-specialist-correctness-output.txt|cursor-specialist-testing-output.txt|dyn-parity-drift-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_15	cursor-specialist-correctness-output.txt	accepted	YES	true	minor	adequate	false	YES	true	minor	adequate	false	YES	true	minor	good	false
FINDING_16	cursor-specialist-correctness-output.txt|cursor-specialist-testing-output.txt|dyn-parity-drift-output.txt	accepted	YES	true	minor	adequate	false	YES	true	nit	adequate	false	YES	true	nit	adequate	false
FINDING_17	cursor-specialist-correctness-output.txt	accepted	YES	true	minor	adequate	false	YES	true	nit	adequate	false	YES	true	nit	adequate	false
FINDING_18	cursor-specialist-correctness-output.txt|cursor-specialist-testing-output.txt	accepted	YES	true	nit	adequate	false	YES	true	nit	adequate	false	YES	true	nit	adequate	false
FINDING_19	codex-specialist-correctness-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_2	cursor-specialist-security-output.txt|dyn-writer-guard-output.txt	accepted	YES	partially-true	major	adequate	true	YES	true	major	adequate	false	NO	true	minor	adequate	false
FINDING_20	codex-specialist-correctness-output.txt|codex-specialist-edge-cases-output.txt|codex-specialist-testing-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_21	codex-specialist-correctness-output.txt|codex-specialist-edge-cases-output.txt	accepted	NO	true	minor	adequate	false	YES	true	minor	adequate	false	YES	true	minor	good	false
