archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	2	0	2	0.000000
correctness	correctness	1	0	0	0	n/a
edge-cases	correctness	1	1	0	1	0.000000
edge-cases	correctness	1	0	0	0	n/a
testing	risk-integration	1	0	0	0	n/a
testing	risk-integration	1	0	0	0	n/a
dyn-delegation-surface	correctness	1	2	0	2	0.000000
dyn-delegation-surface-codex	correctness	1	0	0	0	n/a
dyn-doc-ci-drift	risk-integration	1	1	0	1	0.000000
dyn-doc-ci-drift-codex	risk-integration	1	0	0	0	n/a
