finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain
FINDING_1	cursor-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|dyn-plan-cli-contracts-output.txt	accepted	NO	partially-true	minor	adequate	false	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_10	dyn-retired-path-sweep-output.txt	accepted	NO	true	nit	adequate	false	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_11	dyn-retired-path-sweep-output.txt	accepted	NO	true	nit	adequate	false	YES	true	minor	good	false	YES	true	major	excellent	false
FINDING_12	dyn-retired-path-sweep-output.txt	accepted	NO	true	nit	adequate	false	YES	true	minor	good	false	YES	true	major	excellent	false
FINDING_13	dyn-retired-path-sweep-output.txt	accepted	NO	true	nit	adequate	false	YES	true	minor	good	false	YES	true	major	excellent	false
FINDING_14	dyn-retired-path-sweep-output.txt	accepted	NO	true	nit	adequate	false	YES	true	minor	good	false	YES	true	major	excellent	false
FINDING_15	dyn-retired-path-sweep-output.txt	accepted	NO	true	nit	adequate	false	YES	true	minor	good	false	YES	true	major	excellent	false
FINDING_16	dyn-retired-path-sweep-output.txt	accepted	NO	true	nit	adequate	false	YES	true	minor	good	false	YES	true	major	excellent	false
FINDING_17	dyn-retired-path-sweep-output.txt	accepted	NO	true	nit	adequate	false	YES	true	minor	good	false	YES	true	major	excellent	false
FINDING_18	dyn-retired-path-sweep-output.txt	accepted	NO	true	nit	adequate	false	YES	true	minor	good	false	YES	true	major	excellent	false
FINDING_19	dyn-artifact-security-output.txt	neutral	NO	uncertain	minor	adequate	true	NO	partially-true	minor	good	false	YES	true	major	excellent	false
FINDING_2	dyn-plan-cli-contracts-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_20	dyn-artifact-security-output.txt	accepted	NO	uncertain	minor	adequate	true	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_21	cursor-specialist-testing-output.txt|dyn-plan-cli-contracts-output.txt|dyn-artifact-security-output.txt	neutral	JUDGE_ERROR				true	YES	true	nit	adequate	false	NO	true	nit	adequate	false
FINDING_22	cursor-specialist-testing-output.txt	rejected	JUDGE_ERROR				true	NO	true	nit	adequate	false	NO	true	nit	adequate	false
FINDING_23	cursor-specialist-testing-output.txt	neutral	JUDGE_ERROR				true	YES	true	minor	good	false	NO	true	nit	excellent	false
FINDING_24	dyn-plan-cli-contracts-output.txt	neutral	JUDGE_ERROR				true	YES	true	minor	adequate	false	NO	true	nit	good	false
FINDING_25	dyn-retired-path-sweep-output.txt	neutral	JUDGE_ERROR				true	YES	true	minor	adequate	false	NO	true	nit	adequate	false
FINDING_3	cursor-specialist-testing-output.txt	accepted	NO	true	minor	adequate	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_4	cursor-specialist-testing-output.txt	accepted	NO	true	minor	adequate	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_5	cursor-specialist-testing-output.txt	neutral	NO	partially-true	minor	adequate	false	YES	true	major	adequate	false	NO	true	minor	adequate	false
FINDING_6	cursor-specialist-testing-output.txt	accepted	NO	true	minor	adequate	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_7	cursor-specialist-testing-output.txt	accepted	NO	true	minor	adequate	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_8	cursor-specialist-testing-output.txt	accepted	NO	true	minor	adequate	false	YES	true	major	adequate	false	YES	true	major	adequate	false
FINDING_9	codex-generic-output.txt|dyn-retired-path-sweep-output.txt	accepted	NO	partially-true	minor	adequate	false	YES	true	blocker	adequate	false	YES	true	major	adequate	false
