round	tool	slot	label	accepted_count	rejected_count	total_count
2	cursor	correctness	cursor-specialist-correctness-output.txt	7	0	8
2	cursor	edge-cases	cursor-specialist-edge-cases-output.txt	8	0	8
2	cursor	testing	cursor-specialist-testing-output.txt	3	1	4
2	codex	codex-generic	codex-generic-output.txt	5	0	5
2	cursor	dyn-dyn-realized-matching	dyn-dyn-realized-matching-output.txt	0	0	0
2	cursor	dyn-dyn-oos-verdicts	dyn-dyn-oos-verdicts-output.txt	5	0	5
2	cursor	dyn-dyn-voter-prep	dyn-dyn-voter-prep-output.txt	7	2	10
1	cursor	correctness	cursor-specialist-correctness-output.txt	4	4	8
1	codex	correctness	codex-specialist-correctness-output.txt	3	0	3
1	cursor	edge-cases	cursor-specialist-edge-cases-output.txt	3	3	6
1	codex	edge-cases	codex-specialist-edge-cases-output.txt	3	0	3
1	cursor	testing	cursor-specialist-testing-output.txt	4	0	4
1	codex	testing	codex-specialist-testing-output.txt	2	0	2
1	cursor	dyn-dyn-realized-matching	dyn-dyn-realized-matching-output.txt	5	3	8
1	codex	dyn-dyn-realized-matching-codex	dyn-dyn-realized-matching-codex-output.txt	0	0	0
1	cursor	dyn-dyn-oos-verdicts	dyn-dyn-oos-verdicts-output.txt	3	2	5
1	codex	dyn-dyn-oos-verdicts-codex	dyn-dyn-oos-verdicts-codex-output.txt	0	0	0
1	cursor	dyn-dyn-voter-prep	dyn-dyn-voter-prep-output.txt	2	4	6
1	codex	dyn-dyn-voter-prep-codex	dyn-dyn-voter-prep-codex-output.txt	0	0	0
