archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
structure	code-quality	1	5	2	0	0.400000
correctness	correctness	1	0	0	0	n/a
testing	risk-integration	1	3	2	0	0.666667
security	security	1	1	1	0	1.000000
edge-cases	correctness	1	3	2	0	0.666667
plan-fidelity	architecture	1	1	1	0	1.000000
dyn-oos-flow	risk-integration	1	1	1	0	1.000000
dyn-bash-materializer	correctness	1	0	0	0	n/a
dyn-python-ship	correctness	1	1	1	0	1.000000
dyn-redaction-boundary	security	1	1	1	0	1.000000
dyn-contract-sync	architecture	1	3	3	0	1.000000
