archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	0	0	0	n/a
correctness	correctness	1	0	0	0	n/a
edge-cases	correctness	1	0	0	0	n/a
edge-cases	correctness	1	0	0	0	n/a
testing	risk-integration	1	0	0	0	n/a
testing	risk-integration	1	0	0	0	n/a
dyn-dyn-design-wait	correctness	1	0	0	0	n/a
dyn-dyn-design-wait-codex	correctness	1	0	0	0	n/a
dyn-dyn-harness-pins	risk-integration	1	0	0	0	n/a
dyn-dyn-harness-pins-codex	risk-integration	1	0	0	0	n/a
