round	tool	slot	label	accepted_count
1	cursor	correctness	cursor-specialist-correctness-output.txt	3
1	codex	correctness	codex-specialist-correctness-output.txt	3
1	cursor	edge-cases	cursor-specialist-edge-cases-output.txt	2
1	codex	edge-cases	codex-specialist-edge-cases-output.txt	3
1	cursor	testing	cursor-specialist-testing-output.txt	1
1	codex	testing	codex-specialist-testing-output.txt	3
1	cursor	dyn-postplan-rc	dyn-postplan-rc-output.txt	2
1	codex	dyn-postplan-rc-codex	dyn-postplan-rc-codex-output.txt	0
1	cursor	dyn-env-rehydrate	dyn-env-rehydrate-output.txt	2
1	codex	dyn-env-rehydrate-codex	dyn-env-rehydrate-codex-output.txt	0
1	cursor	dyn-launcher-docs	dyn-launcher-docs-output.txt	5
1	codex	dyn-launcher-docs-codex	dyn-launcher-docs-codex-output.txt	0
