archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
structure	code-quality	1	4	4	0	1.000000
correctness	correctness	1	2	2	0	1.000000
testing	risk-integration	1	3	3	0	1.000000
security	security	1	5	3	2	0.600000
edge-cases	correctness	1	4	3	0	0.750000
plan-fidelity	architecture	1	3	3	0	1.000000
dyn-bash-fence	security	1	4	3	1	0.750000
dyn-resume-state	risk-integration	1	2	2	0	1.000000
dyn-classification-gate	correctness	1	3	3	0	1.000000
dyn-trailer-protocol	architecture	1	4	4	0	1.000000
