finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain
FINDING_1	cursor-specialist-correctness-output.txt	neutral	YES	uncertain	major	good	true	NO	partially-true	minor	adequate	false	NO	partially-true	minor	good	false
FINDING_10	cursor-specialist-testing-output.txt	accepted	YES	true	major	good	false	YES	partially-true	major	good	false	YES	true	major	excellent	false
FINDING_11	cursor-specialist-testing-output.txt	rejected	NO	true	minor	adequate	false	NO	true	minor	adequate	false	NO	partially-true		good	true
FINDING_12	cursor-specialist-testing-output.txt|dyn-reference-sweep-output.txt	neutral	NO	true	nit	adequate	false	NO	true	nit	adequate	false	YES	true	minor	good	false
FINDING_13	cursor-specialist-testing-output.txt	rejected	NO	true	nit	adequate	false	NO	true	nit	adequate	false	NO	true	nit	adequate	false
FINDING_14	codex-generic-output.txt	accepted	YES	true	major	excellent	false	YES	true	blocker	good	false	YES	true	major	excellent	false
FINDING_15	dyn-launcher-grants-output.txt	rejected	NO	partially-true	minor	adequate	true	NO	partially-true	minor	adequate	false	NO	partially-true	minor	excellent	false
FINDING_16	dyn-reference-sweep-output.txt	neutral	NO	true	minor	adequate	false	YES	true	minor	good	false	NO	true		good	true
FINDING_17	dyn-reference-sweep-output.txt	neutral	NO	true	minor	good	false	YES	true	minor	good	false	NO	true		excellent	true
FINDING_18	dyn-reference-sweep-output.txt	rejected	NO	true	nit	adequate	false	NO	true	nit	adequate	false	NO	true	nit	good	false
FINDING_19	dyn-reference-sweep-output.txt	neutral	NO	partially-true	minor	adequate	true	YES	true	minor	good	false	NO	true		good	true
FINDING_2	cursor-specialist-correctness-output.txt|dyn-dispatch-parity-output.txt	neutral	NO	partially-true	minor	adequate	false	YES	true	major	good	false	NO	true		good	true
FINDING_20	dyn-reference-sweep-output.txt	rejected	NO	true	nit	adequate	false	NO	true	nit	adequate	false	NO	true	nit	adequate	false
FINDING_3	cursor-specialist-correctness-output.txt	neutral	NO	true	nit	adequate	false	YES	true	minor	adequate	false	NO	true	nit	adequate	false
FINDING_4	cursor-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|cursor-specialist-testing-output.txt|dyn-dispatch-parity-output.txt|dyn-reference-sweep-output.txt	rejected	NO	partially-true	nit	no-fix	false	NO	true	nit	adequate	false	NO	true	nit	adequate	false
FINDING_5	cursor-specialist-correctness-output.txt	rejected	NO	true	nit	weak	false	NO	true	nit	adequate	false	NO	true	nit	adequate	false
FINDING_6	cursor-specialist-edge-cases-output.txt|cursor-specialist-testing-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_7	dyn-dispatch-parity-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_8	cursor-specialist-edge-cases-output.txt	neutral	YES	true	major	good	false	NO	true	minor	good	false	NO	true		good	true
FINDING_9	cursor-specialist-testing-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	excellent	false
