round	tool	slot	label	accepted_count
1	cursor	correctness	cursor-specialist-correctness-output.txt	5
1	codex	correctness	codex-specialist-correctness-output.txt	2
1	cursor	edge-cases	cursor-specialist-edge-cases-output.txt	2
1	codex	edge-cases	codex-specialist-edge-cases-output.txt	2
1	cursor	testing	cursor-specialist-testing-output.txt	1
1	codex	testing	codex-specialist-testing-output.txt	2
1	cursor	dyn-hook-enforcement	dyn-hook-enforcement-output.txt	7
1	codex	dyn-hook-enforcement-codex	dyn-hook-enforcement-codex-output.txt	0
1	cursor	dyn-design-wait-contract	dyn-design-wait-contract-output.txt	4
1	codex	dyn-design-wait-contract-codex	dyn-design-wait-contract-codex-output.txt	0
2	cursor	correctness	cursor-specialist-correctness-output.txt	2
2	cursor	edge-cases	cursor-specialist-edge-cases-output.txt	1
2	cursor	testing	cursor-specialist-testing-output.txt	2
2	codex	codex-generic	codex-generic-output.txt	1
2	cursor	dyn-hook-enforcement	dyn-hook-enforcement-output.txt	2
2	cursor	dyn-design-wait-contract	dyn-design-wait-contract-output.txt	3
