finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain
FINDING_1	cursor-specialist-correctness-output.txt|codex-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|cursor-specialist-testing-output.txt|dyn-risk-integration-output.txt|dyn-architecture-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_10	codex-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|codex-specialist-edge-cases-output.txt	accepted	NO	partially-true	minor	adequate	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_11	codex-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_12	codex-specialist-correctness-output.txt|codex-specialist-testing-output.txt|dyn-risk-integration-output.txt|codex-specialist-edge-cases-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_13	codex-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|codex-specialist-edge-cases-output.txt|cursor-specialist-testing-output.txt|codex-specialist-testing-output.txt|dyn-risk-integration-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_14	cursor-specialist-edge-cases-output.txt	neutral	NO	true	minor	adequate	false	YES	true	major	adequate	false	NO	true	minor	good	false
FINDING_15	cursor-specialist-edge-cases-output.txt	rejected	NO	true	nit	adequate	false	NO	partially-true	nit	adequate	false	NO	true	nit	adequate	false
FINDING_16	cursor-specialist-edge-cases-output.txt|cursor-specialist-testing-output.txt	accepted	YES	true	major	adequate	false	YES	true	minor	adequate	false	NO	partially-true	minor	good	false
FINDING_17	codex-specialist-edge-cases-output.txt|codex-specialist-testing-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	good	false	NO	partially-true	minor	good	false
FINDING_18	cursor-specialist-testing-output.txt|codex-specialist-testing-output.txt	accepted	YES	true	minor	adequate	false	YES	true	minor	good	false	NO	true	minor	good	false
FINDING_19	cursor-specialist-testing-output.txt|dyn-risk-integration-output.txt	accepted	YES	true	major	adequate	false	YES	true	minor	adequate	false	NO	partially-true	minor	good	false
FINDING_2	cursor-specialist-correctness-output.txt|dyn-architecture-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_20	cursor-specialist-testing-output.txt	neutral	YES	partially-true	major	adequate	true	NO	true	nit	adequate	false	NO	partially-true	minor	adequate	false
FINDING_21	cursor-specialist-testing-output.txt	rejected	NO	true	minor	adequate	false	NO	true	minor	adequate	false	NO	partially-true	minor	adequate	false
FINDING_22	dyn-risk-integration-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_23	dyn-risk-integration-output.txt	accepted	YES	true	major	adequate	false	YES	true	minor	good	false	YES	true	major	excellent	false
FINDING_24	dyn-architecture-output.txt	accepted	YES	true	major	good	false	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_25	dyn-architecture-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_26	dyn-risk-integration-output.txt	accepted	NO	true	nit	no-fix	false	YES	true	minor	adequate	false	YES	true	nit	adequate	false
FINDING_27	dyn-risk-integration-output.txt	neutral	NO	true	nit	no-fix	false	NO	partially-true	nit	weak	false	YES	true	nit	adequate	false
FINDING_28	dyn-architecture-output.txt	rejected	NO	true	nit	no-fix	false	NO	false-positive	nit	no-fix	false	NO	true	nit	no-fix	false
FINDING_29	dyn-architecture-output.txt	rejected	NO	true	nit	no-fix	false	NO	true	nit	weak	false	NO	true	nit	weak	false
FINDING_3	cursor-specialist-correctness-output.txt|dyn-risk-integration-output.txt	accepted	NO	uncertain	major	weak	true	YES	true	major	good	false	YES	true	major	good	false
FINDING_30	dyn-architecture-output.txt	rejected	NO	true	nit	no-fix	false	NO	true	nit	weak	false	NO	true	nit	no-fix	false
FINDING_4	cursor-specialist-correctness-output.txt|codex-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt	accepted	YES	true	major	good	false	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_5	cursor-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|codex-specialist-edge-cases-output.txt	accepted	YES	true	major	good	false	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_6	cursor-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_7	cursor-specialist-correctness-output.txt	rejected	NO	partially-true	minor	no-fix	false	NO	true	minor	adequate	false	NO	true	nit	adequate	false
FINDING_8	cursor-specialist-correctness-output.txt	rejected	NO	partially-true	minor	no-fix	false	NO	partially-true	minor	adequate	false	NO	partially-true	minor	adequate	false
FINDING_9	cursor-specialist-correctness-output.txt	accepted	NO	true	minor	no-fix	false	YES	true	minor	weak	false	YES	true	minor	good	false
