archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	0	0	0	n/a
correctness	correctness	1	0	0	0	n/a
edge-cases	correctness	1	0	0	0	n/a
edge-cases	correctness	1	1	0	1	0.000000
testing	risk-integration	1	0	0	0	n/a
testing	risk-integration	1	0	0	0	n/a
dyn-dyn-state-publish	correctness	1	0	0	0	n/a
dyn-dyn-state-publish-codex	correctness	1	0	0	0	n/a
dyn-dyn-warning-contracts	risk-integration	1	1	1	0	1.000000
dyn-dyn-warning-contracts-codex	risk-integration	1	0	0	0	n/a
