round	tool	slot	label	accepted_count
1	cursor	security	cursor-specialist-security-output.txt	4
1	codex	security	codex-specialist-security-output.txt	2
1	cursor	correctness	cursor-specialist-correctness-output.txt	3
1	codex	correctness	codex-specialist-correctness-output.txt	4
1	cursor	edge-cases	cursor-specialist-edge-cases-output.txt	3
1	codex	edge-cases	codex-specialist-edge-cases-output.txt	3
1	cursor	testing	cursor-specialist-testing-output.txt	3
1	codex	testing	codex-specialist-testing-output.txt	3
1	cursor	dyn-delegation-errors	dyn-delegation-errors-output.txt	3
1	codex	dyn-delegation-errors-codex	dyn-delegation-errors-codex-output.txt	0
1	cursor	dyn-bash32-compat	dyn-bash32-compat-output.txt	0
1	codex	dyn-bash32-compat-codex	dyn-bash32-compat-codex-output.txt	0
1	cursor	dyn-behavioral-regression	dyn-behavioral-regression-output.txt	2
1	codex	dyn-behavioral-regression-codex	dyn-behavioral-regression-codex-output.txt	0
