finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	scope
FINDING_1	cursor-specialist-correctness|codex-specialist-correctness|cursor-specialist-edge-cases|cursor-specialist-testing|codex-specialist-testing	accepted	YES	true	major	adequate	false	codex-validity	YES	true	major	adequate	false	codex-plan-fidelity	YES	true	major	good	false	codex-pragmatism	in_scope
FINDING_2	cursor-specialist-correctness|codex-specialist-correctness|cursor-specialist-edge-cases	accepted	YES	true	major	adequate	false	codex-validity	YES	true	major	adequate	false	codex-plan-fidelity	YES	true	major	good	false	codex-pragmatism	in_scope
FINDING_3	cursor-specialist-correctness|cursor-specialist-edge-cases|dyn-dyn-cas-mutations	accepted	YES	true	major	adequate	false	codex-validity	YES	true	minor	adequate	false	codex-plan-fidelity	YES	true	minor	good	false	codex-pragmatism	in_scope
FINDING_4	cursor-specialist-correctness	neutral	NO	false-positive	minor	adequate	false	codex-validity	YES	true	minor	adequate	false	codex-plan-fidelity	NO	false-positive	nit	adequate	false	codex-pragmatism	in_scope
FINDING_5	codex-specialist-correctness	accepted	YES	true	minor	adequate	false	codex-validity	YES	true	minor	adequate	false	codex-plan-fidelity	YES	true	minor	good	false	codex-pragmatism	in_scope
FINDING_6	codex-specialist-correctness	accepted	YES	true	minor	adequate	false	codex-validity	YES	true	minor	adequate	false	codex-plan-fidelity	YES	true	minor	good	false	codex-pragmatism	in_scope
FINDING_7	cursor-specialist-testing	accepted	YES	true	major	adequate	false	codex-validity	YES	true	minor	adequate	false	codex-plan-fidelity	YES	true	minor	good	false	codex-pragmatism	in_scope
FINDING_8	cursor-specialist-testing	accepted	YES	true	minor	adequate	false	codex-validity	YES	true	minor	adequate	false	codex-plan-fidelity	YES	true	minor	good	false	codex-pragmatism	in_scope
FINDING_9	dyn-dyn-cas-mutations	accepted	YES	true	major	adequate	false	codex-validity	YES	true	major	adequate	false	codex-plan-fidelity	YES	true	major	good	false	codex-pragmatism	in_scope
FINDING_10	dyn-dyn-cas-mutations	accepted	YES	true	major	adequate	false	codex-validity	YES	true	minor	adequate	false	codex-plan-fidelity	YES	true	minor	good	false	codex-pragmatism	in_scope
OOS_1	cursor-specialist-edge-cases	accepted	YES	true	minor	adequate	false	codex-validity	YES	true	minor	adequate	false	codex-plan-fidelity	YES	true	minor	good	false	codex-pragmatism	oos
OOS_2	cursor-specialist-edge-cases	accepted	YES	true	major	adequate	false	codex-validity	YES	true	minor	adequate	false	codex-plan-fidelity	YES	true	minor	good	false	codex-pragmatism	oos
OOS_3	cursor-specialist-edge-cases	rejected	NO	partially-true	nit	adequate	false	codex-validity	NO	false-positive	nit	adequate	false	codex-plan-fidelity	NO	partially-true	nit	adequate	false	codex-pragmatism	oos
OOS_4	cursor-specialist-testing	accepted	YES	true	minor	adequate	false	codex-validity	NO	true	minor	adequate	false	codex-plan-fidelity	YES	true	minor	good	false	codex-pragmatism	oos
OOS_5	cursor-specialist-testing	accepted	YES	true	minor	adequate	false	codex-validity	NO	true	minor	adequate	false	codex-plan-fidelity	YES	true	minor	adequate	false	codex-pragmatism	oos
OOS_6	cursor-specialist-testing	accepted	YES	true	minor	adequate	false	codex-validity	YES	true	minor	adequate	false	codex-plan-fidelity	NO	true	minor	adequate	false	codex-pragmatism	oos
OOS_7	dyn-dyn-cas-mutations	neutral	NO	partially-true	minor	adequate	false	codex-validity	NO	partially-true	minor	adequate	false	codex-plan-fidelity	YES	true	minor	adequate	false	codex-pragmatism	oos
OOS_8	dyn-dyn-cas-mutations	accepted	YES	true	minor	adequate	false	codex-validity	YES	true	minor	adequate	false	codex-plan-fidelity	NO	partially-true	nit	adequate	false	codex-pragmatism	oos
OOS_9	dyn-dyn-cas-mutations	neutral	YES	true	minor	adequate	false	codex-validity	NO	true	minor	good	false	codex-plan-fidelity	NO	true	minor	good	false	codex-pragmatism	oos
