finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain
FINDING_1	cursor-specialist-structure-output.txt	accepted	YES	true	nit	good	false	YES	true	minor	adequate	false	YES	true	nit	good	false
FINDING_10	cursor-specialist-testing-output.txt	accepted	YES	true	nit	good	false	YES	true	nit	adequate	false	YES	true	nit	good	false
FINDING_11	cursor-specialist-security-output.txt	rejected	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false
FINDING_12	cursor-specialist-security-output.txt	rejected	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false
FINDING_13	cursor-specialist-security-output.txt	rejected	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false
FINDING_14	cursor-specialist-security-output.txt	rejected	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false
FINDING_15	cursor-specialist-security-output.txt	rejected	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false
FINDING_16	cursor-specialist-security-output.txt	rejected	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false
FINDING_17	cursor-specialist-security-output.txt	rejected	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false
FINDING_18	cursor-specialist-security-output.txt	rejected	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false
FINDING_19	cursor-specialist-security-output.txt	rejected	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false
FINDING_2	cursor-specialist-structure-output.txt	accepted	YES	true	minor	good	false	YES	true	minor	adequate	false	YES	true	minor	good	false
FINDING_20	cursor-specialist-security-output.txt	accepted	YES	true	minor	adequate	false	EXONERATE	true	minor	adequate	false	YES	true	minor	good	false
FINDING_21	cursor-specialist-security-output.txt	exonerated	EXONERATE	partially-true	nit	adequate	false	NO	partially-true	nit	weak	false	EXONERATE	partially-true	nit	weak	false
FINDING_22	cursor-specialist-security-output.txt	exonerated	EXONERATE	true	minor	adequate	false	NO	false-positive	nit	no-fix	false	EXONERATE	true	nit	no-fix	false
FINDING_23	cursor-specialist-edge-cases-output.txt	exonerated	YES	true	minor	good	false	EXONERATE	true	minor	adequate	false	EXONERATE	true	minor	adequate	false
FINDING_24	cursor-specialist-plan-fidelity-output.txt	accepted	YES	true	minor	good	false	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_25	cursor-specialist-plan-fidelity-output.txt	accepted	YES	true	minor	adequate	false	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_26	cursor-specialist-plan-fidelity-output.txt	accepted	YES	true	nit	good	false	YES	true	minor	adequate	false	YES	true	nit	good	false
FINDING_27	cursor-specialist-plan-fidelity-output.txt	accepted	YES	true	nit	adequate	false	YES	true	minor	adequate	false	YES	true	nit	good	false
FINDING_28	cursor-specialist-plan-fidelity-output.txt	accepted	YES	true	nit	good	false	YES	true	nit	adequate	false	YES	true	nit	good	false
FINDING_29	dyn-shell-failure-output.txt	accepted	YES	true	minor	excellent	false	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_3	cursor-specialist-structure-output.txt	exonerated	EXONERATE	true	nit	adequate	false	EXONERATE	true	nit	adequate	false	EXONERATE	true	minor	adequate	false
FINDING_30	dyn-shell-failure-output.txt	exonerated	YES	true	minor	good	false	EXONERATE	partially-true	minor	weak	false	EXONERATE	true	minor	adequate	false
FINDING_31	dyn-shell-failure-output.txt	rejected	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false
FINDING_32	dyn-shell-failure-output.txt	rejected	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false
FINDING_33	dyn-shell-failure-output.txt	rejected	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false
FINDING_34	dyn-shell-failure-output.txt	neutral	YES	true	nit	weak	false	EXONERATE	true	nit	adequate	false	NO	false-positive	nit	no-fix	false
