finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain
FINDING_1	cursor-specialist-structure-output.txt	accepted	YES	partially-true	minor	adequate	false	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_10	cursor-specialist-correctness-output.txt	accepted	YES	true	minor	good	false	YES	true	minor	good	false	EXONERATE	true	minor	good	false
FINDING_11	cursor-specialist-correctness-output.txt	exonerated	EXONERATE	true	nit	weak	false	YES	true	minor	adequate	false	EXONERATE	true	minor	weak	false
FINDING_12	cursor-specialist-correctness-output.txt	accepted	YES	true	minor	good	false	YES	true	minor	good	false	EXONERATE	true	nit	adequate	false
FINDING_13	cursor-specialist-correctness-output.txt	exonerated	YES	true	nit	adequate	false	EXONERATE	partially-true	nit	adequate	false	EXONERATE	true	nit	adequate	false
FINDING_14	cursor-specialist-correctness-output.txt	accepted	YES	true	nit	adequate	false	NO	false-positive	nit	weak	false	YES	true	nit	good	false
FINDING_15	cursor-specialist-correctness-output.txt	accepted	YES	true	nit	adequate	false	EXONERATE	true	nit	adequate	false	YES	true	nit	good	false
FINDING_16	cursor-specialist-testing-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_17	cursor-specialist-testing-output.txt	accepted	YES	true	minor	adequate	false	YES	true	minor	good	false	YES	true	minor	good	false
FINDING_18	cursor-specialist-testing-output.txt	exonerated	EXONERATE	partially-true	nit	weak	false	EXONERATE	true	nit	weak	false	EXONERATE	partially-true	minor	weak	false
FINDING_19	cursor-specialist-testing-output.txt	accepted	YES	true	nit	adequate	false	EXONERATE	true	nit	adequate	false	YES	true	nit	good	false
FINDING_2	cursor-specialist-structure-output.txt	accepted	YES	true	major	good	false	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_20	cursor-specialist-testing-output.txt	accepted	YES	true	nit	adequate	false	YES	true	minor	good	false	EXONERATE	true	nit	adequate	false
FINDING_21	cursor-specialist-testing-output.txt	exonerated	EXONERATE	false-positive	nit	no-fix	false	NO	false-positive	nit	weak	false	EXONERATE	true	nit	weak	false
FINDING_22	cursor-specialist-security-output.txt	exonerated	EXONERATE	partially-true	nit	weak	false	EXONERATE	partially-true	nit	no-fix	false	EXONERATE	true	nit	weak	false
FINDING_23	cursor-specialist-security-output.txt	exonerated	EXONERATE	partially-true	nit	weak	false	NO	false-positive	nit	adequate	false	EXONERATE	true	nit	weak	false
FINDING_24	cursor-specialist-security-output.txt	accepted	YES	true	minor	good	false	YES	true	minor	good	false	EXONERATE	true	minor	good	false
FINDING_25	cursor-specialist-edge-cases-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_26	cursor-specialist-edge-cases-output.txt	accepted	YES	true	minor	good	false	YES	true	minor	good	false	EXONERATE	true	minor	good	false
FINDING_27	cursor-specialist-edge-cases-output.txt	exonerated	EXONERATE	true	nit	weak	false	YES	true	minor	adequate	false	EXONERATE	true	minor	weak	false
FINDING_28	cursor-specialist-edge-cases-output.txt	exonerated	EXONERATE	true	nit	weak	false	EXONERATE	true	minor	adequate	false	EXONERATE	true	minor	weak	false
FINDING_29	cursor-specialist-edge-cases-output.txt	neutral	YES	true	nit	adequate	false	NO	false-positive	nit	adequate	false	EXONERATE	partially-true	nit	adequate	false
FINDING_3	cursor-specialist-structure-output.txt	exonerated	YES	true	nit	adequate	false	EXONERATE	partially-true	nit	adequate	false	EXONERATE	true	nit	adequate	false
FINDING_30	cursor-specialist-edge-cases-output.txt	exonerated	YES	true	nit	adequate	false	EXONERATE	partially-true	nit	adequate	false	EXONERATE	true	nit	adequate	false
FINDING_31	cursor-specialist-plan-fidelity-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_32	cursor-specialist-plan-fidelity-output.txt	accepted	YES	true	minor	good	false	YES	true	minor	good	false	YES	true	major	excellent	false
FINDING_33	cursor-specialist-plan-fidelity-output.txt	accepted	YES	true	minor	good	false	YES	true	minor	good	false	EXONERATE	true	minor	adequate	false
FINDING_34	cursor-specialist-plan-fidelity-output.txt	exonerated	YES	true	nit	adequate	false	EXONERATE	true	nit	adequate	false	EXONERATE	partially-true	nit	weak	false
FINDING_35	cursor-specialist-plan-fidelity-output.txt	exonerated	YES	true	nit	weak	false	EXONERATE	true	nit	weak	false	EXONERATE	true	nit	weak	false
FINDING_36	cursor-specialist-plan-fidelity-output.txt	exonerated	YES	partially-true	nit	weak	false	EXONERATE	true	nit	weak	false	EXONERATE	true	nit	weak	false
FINDING_37	cursor-specialist-plan-fidelity-output.txt	accepted	YES	true	nit	adequate	false	EXONERATE	true	nit	adequate	false	YES	true	nit	good	false
FINDING_4	cursor-specialist-structure-output.txt	accepted	YES	true	minor	good	false	YES	true	minor	good	false	EXONERATE	true	minor	good	false
FINDING_5	cursor-specialist-structure-output.txt	exonerated	YES	true	nit	adequate	false	EXONERATE	partially-true	nit	adequate	false	EXONERATE	true	nit	adequate	false
FINDING_6	cursor-specialist-structure-output.txt	exonerated	EXONERATE	partially-true	nit	weak	false	EXONERATE	true	nit	weak	false	EXONERATE	true	nit	weak	false
FINDING_7	cursor-specialist-structure-output.txt	accepted	YES	true	minor	adequate	false	YES	true	minor	adequate	false	YES	true	minor	good	false
