archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	0	0	0	n/a
correctness	correctness	1	2	1	0	0.500000
edge-cases	correctness	1	2	1	0	0.500000
edge-cases	correctness	1	1	1	0	1.000000
testing	risk-integration	1	1	0	0	0.000000
testing	risk-integration	1	1	0	0	0.000000
dyn-code-robustness	code-quality	1	0	0	0	n/a
dyn-code-robustness-codex	code-quality	1	0	0	0	n/a
dyn-stream-routing	architecture	1	0	0	0	n/a
dyn-stream-routing-codex	architecture	1	0	0	0	n/a
