archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	0	0	0	n/a
correctness	correctness	1	1	0	1	0.000000
edge-cases	correctness	1	1	0	1	0.000000
edge-cases	correctness	1	1	0	1	0.000000
testing	risk-integration	1	0	0	0	n/a
testing	risk-integration	1	1	0	1	0.000000
dyn-transport-kv	correctness	1	0	0	0	n/a
dyn-transport-kv-codex	correctness	1	0	0	0	n/a
dyn-retirement-map	risk-integration	1	0	0	0	n/a
dyn-retirement-map-codex	risk-integration	1	0	0	0	n/a
dyn-pytest-contracts	correctness	1	3	0	3	0.000000
dyn-pytest-contracts-codex	correctness	1	0	0	0	n/a
