site	phase	round_num	slot	slot_kind	tool	output	prompt_bytes	prompt_tokens	scaffold_bytes	scaffold_tokens	payload_bytes	payload_tokens	agent_file	agent_bytes	agent_tokens
implement Step 5	phase1	1	dyn-dyn-baseline-provenance-codex	specialist	codex	dyn-dyn-baseline-provenance-codex-output.txt	75197	18800	3911	978	71286	17822		0	0
implement Step 5	phase1	1	dyn-dyn-baseline-provenance	specialist	cursor	dyn-dyn-baseline-provenance-output.txt	75197	18800	3911	978	71286	17822		0	0
implement Step 5	phase1	1	edge-cases	specialist	cursor	cursor-specialist-edge-cases-output.txt	78762	19691	8112	2028	70650	17663	agents/reviewer-edge-cases.md	6297	1575
implement Step 5	phase1	1	testing	specialist	cursor	cursor-specialist-testing-output.txt	78204	19551	7554	1889	70650	17663	agents/reviewer-testing.md	5764	1441
implement Step 5	phase1	1	edge-cases	specialist	codex	codex-specialist-edge-cases-output.txt	78762	19691	8112	2028	70650	17663	agents/reviewer-edge-cases.md	6297	1575
implement Step 5	phase1	1	testing	specialist	codex	codex-specialist-testing-output.txt	78204	19551	7554	1889	70650	17663	agents/reviewer-testing.md	5764	1441
implement Step 5	phase1	1	correctness	specialist	cursor	cursor-specialist-correctness-output.txt	78290	19573	7640	1910	70650	17663	agents/reviewer-correctness.md	5788	1447
implement Step 5	phase1	1	correctness	specialist	codex	codex-specialist-correctness-output.txt	78290	19573	7640	1910	70650	17663	agents/reviewer-correctness.md	5788	1447
review Step 2	phase1	1	aggregator	aggregator	codex	aggregator-output.txt	18987	4747	4140	1035	14847	3712	agents/orchestrator-aggregator.md	4363	1091
implement Step 5	phase1	1	voter-1	voter	codex	codex-validity-vote-output.txt	8700	2175	8455	2114	245	62		0	0
implement Step 5	phase1	1	voter-3	voter	codex	codex-pragmatism-vote-output.txt	8757	2190	8512	2128	245	62		0	0
implement Step 5	phase1	1	voter-2	voter	codex	codex-plan-fidelity-vote-output.txt	9046	2262	8801	2201	245	62		0	0
review.fix_coder	review.fix_coder	1	implementer	implementer	codex	coder-output.log	1746	437	0	0	2085	522		0	0
