archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	5	0	5	0.000000
correctness	correctness	1	1	1	0	1.000000
edge-cases	correctness	1	7	0	7	0.000000
edge-cases	correctness	1	2	1	0	0.500000
testing	risk-integration	1	6	0	6	0.000000
testing	risk-integration	1	1	1	0	1.000000
dyn-progress-windowing	correctness	1	0	0	0	n/a
dyn-progress-windowing-codex	correctness	1	0	0	0	n/a
dyn-round-start-safety	security	1	1	0	1	0.000000
dyn-round-start-safety-codex	security	1	0	0	0	n/a
dyn-harness-deadlock	risk-integration	1	2	0	2	0.000000
dyn-harness-deadlock-codex	risk-integration	1	0	0	0	n/a
