archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
structure	code-quality	1	8	4	0	0.500000
correctness	correctness	1	5	4	0	0.800000
testing	risk-integration	1	1	1	0	1.000000
security	security	1	4	3	0	0.750000
edge-cases	correctness	1	7	6	0	0.857143
plan-fidelity	architecture	1	5	3	0	0.600000
dyn-state-machine	architecture	1	2	2	0	1.000000
dyn-bash-parity	risk-integration	1	7	6	0	0.857143
dyn-runlog-integrity	correctness	1	1	1	0	1.000000
dyn-ci-handback	risk-integration	1	4	4	0	1.000000
dyn-teardown-state	security	1	3	2	0	0.666667
dyn-ci-harness	risk-integration	1	3	3	0	1.000000
