finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain
FINDING_1	cursor-specialist-correctness-output.txt|codex-specialist-correctness-output.txt|codex-specialist-testing-output.txt	accepted	YES	true	major	excellent	false	YES	true	major	excellent	false	YES	true	major	excellent	false
FINDING_10	codex-specialist-correctness-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	NO	partially-true	minor	good	false
FINDING_11	cursor-specialist-edge-cases-output.txt|cursor-specialist-testing-output.txt|dyn-migration-surface-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_12	codex-specialist-edge-cases-output.txt|codex-specialist-testing-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_13	codex-specialist-testing-output.txt|dyn-migration-surface-output.txt	accepted	YES	true	major	excellent	false	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_14	dyn-step5-contract-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_15	dyn-step5-contract-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_16	dyn-step5-contract-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_17	dyn-step5-contract-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	minor	good	false
FINDING_18	dyn-migration-surface-output.txt	accepted	YES	true	major	good	false	NO	true	minor	adequate	false	YES	true	major	excellent	false
FINDING_19	dyn-coder-dispatch-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_2	codex-specialist-correctness-output.txt|codex-specialist-edge-cases-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_3	codex-specialist-correctness-output.txt|codex-specialist-edge-cases-output.txt|codex-specialist-testing-output.txt	accepted	YES	true	major	excellent	false	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_4	codex-specialist-correctness-output.txt|codex-specialist-edge-cases-output.txt|dyn-coder-dispatch-output.txt	accepted	YES	true	major	excellent	false	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_5	codex-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|codex-specialist-testing-output.txt|dyn-step5-contract-output.txt	accepted	YES	true	blocker	excellent	false	YES	true	major	excellent	false	YES	true	blocker	excellent	false
FINDING_6	codex-specialist-correctness-output.txt|codex-specialist-testing-output.txt|dyn-step5-contract-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_7	codex-specialist-correctness-output.txt|dyn-coder-dispatch-output.txt	accepted	YES	true	major	excellent	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_8	codex-specialist-correctness-output.txt|codex-specialist-testing-output.txt|dyn-step5-contract-output.txt	accepted	YES	true	major	excellent	false	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_9	codex-specialist-correctness-output.txt|dyn-step5-contract-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	excellent	false
OOS_1	dyn-step5-contract-output.txt	accepted	YES	true	major	adequate	false	NO	true	major	adequate	false	YES	true	major	adequate	false
OOS_2	dyn-step5-contract-output.txt|dyn-migration-surface-output.txt	accepted	YES	true	minor	good	false	YES	true	minor	good	false	NO	true	nit	good	false
OOS_3	dyn-migration-surface-output.txt	rejected	NO	true	nit	adequate	false	NO	true	nit	adequate	false	NO	true	nit	adequate	false
