round	tool	slot	label	accepted_count	weighted_accepted_count	rejected_count	total_count
1	cursor	correctness	cursor-specialist-correctness-output.txt	8	12	0	8
1	codex	correctness	codex-specialist-correctness-output.txt	3	6	0	3
1	cursor	edge-cases	cursor-specialist-edge-cases-output.txt	6	10	0	6
1	codex	edge-cases	codex-specialist-edge-cases-output.txt	2	4	0	2
1	cursor	testing	cursor-specialist-testing-output.txt	8	10	0	8
1	codex	testing	codex-specialist-testing-output.txt	1	2	0	1
1	cursor	dyn-dyn-auth-boundary	dyn-dyn-auth-boundary-output.txt	6	10	1	9
1	codex	dyn-dyn-auth-boundary-codex	dyn-dyn-auth-boundary-codex-output.txt	0	0	0	0
2	cursor	correctness	cursor-specialist-correctness-output.txt	4	6	4	8
2	codex	correctness	codex-specialist-correctness-output.txt	3	5	0	3
2	cursor	edge-cases	cursor-specialist-edge-cases-output.txt	4	6	4	8
2	codex	edge-cases	codex-specialist-edge-cases-output.txt	2	4	0	3
2	cursor	testing	cursor-specialist-testing-output.txt	5	7	3	9
2	codex	testing	codex-specialist-testing-output.txt	3	3	0	3
2	cursor	dyn-dyn-auth-boundary	dyn-dyn-auth-boundary-output.txt	3	6	3	7
