finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain
FINDING_1	cursor-specialist-security-output.txt	rejected	NO	partially-true	nit	adequate	false	NO	false-positive	nit	weak	false	NO	true	minor	good	false
FINDING_10	codex-specialist-correctness-output.txt|codex-specialist-edge-cases-output.txt	accepted	YES	partially-true	minor	good	false	YES	true	major	good	false	NO	true	major	excellent	false
FINDING_11	codex-specialist-correctness-output.txt	neutral	NO	partially-true	minor	adequate	false	YES	true	minor	adequate	false	NO	partially-true	minor	good	false
FINDING_12	cursor-specialist-edge-cases-output.txt	rejected	NO	partially-true	minor	adequate	false	NO	false-positive	minor	adequate	false	NO	partially-true	minor	adequate	false
FINDING_13	codex-specialist-edge-cases-output.txt	rejected	NO	partially-true	minor	adequate	false	NO	partially-true	minor	adequate	false	NO	partially-true	minor	good	false
FINDING_14	cursor-specialist-testing-output.txt	rejected	NO	true	nit	adequate	false	NO	true	minor	adequate	false	NO	true	minor	good	false
FINDING_15	cursor-specialist-testing-output.txt	rejected	NO	true	nit	adequate	false	NO	true	nit	adequate	false	NO	true	nit	adequate	false
FINDING_16	dyn-bash-safety-output.txt	rejected	NO	partially-true	minor	adequate	false	NO	partially-true	minor	adequate	false	NO	true	minor	good	false
FINDING_17	dyn-bash-safety-output.txt	rejected	NO	partially-true	minor	adequate	false	NO	partially-true	minor	adequate	false	NO	true	minor	good	false
FINDING_18	dyn-oos-blocked-by-logic-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	NO	true	major	excellent	false
FINDING_19	dyn-oos-blocked-by-logic-output.txt	rejected	NO	partially-true	nit	weak	false	NO	true	nit	adequate	false	NO	true	minor	good	false
FINDING_2	cursor-specialist-security-output.txt	rejected	NO	true	nit	adequate	false	NO	true	minor	adequate	false	NO	partially-true	minor	adequate	false
FINDING_20	dyn-oos-blocked-by-logic-output.txt	rejected	NO	partially-true	nit	adequate	false	NO	partially-true	minor	adequate	false	NO	partially-true	minor	good	false
FINDING_21	dyn-oos-blocked-by-logic-output.txt	rejected	NO	partially-true	nit	weak	false	NO	true	nit	adequate	false	NO	true	nit	adequate	false
FINDING_3	cursor-specialist-security-output.txt|codex-specialist-security-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	NO	true	major	good	false
FINDING_4	codex-specialist-security-output.txt	rejected	NO	true	minor	adequate	false	NO	true	minor	adequate	false	NO	true	minor	adequate	false
FINDING_5	cursor-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|dyn-oos-blocked-by-logic-output.txt	rejected	NO	true	nit	good	false	NO	true	nit	adequate	false	NO	true	nit	good	false
FINDING_6	cursor-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|cursor-specialist-testing-output.txt	neutral	YES	true	minor	excellent	false	NO	true	minor	good	false	NO	true	minor	good	false
FINDING_7	cursor-specialist-correctness-output.txt|dyn-oos-blocked-by-logic-output.txt	accepted	YES	true	minor	good	false	YES	true	major	good	false	NO	true	minor	good	false
FINDING_8	cursor-specialist-correctness-output.txt|cursor-specialist-testing-output.txt	rejected	NO	true	nit	weak	false	NO	true	minor	weak	false	NO	true	minor	adequate	false
FINDING_9	cursor-specialist-correctness-output.txt	rejected	NO	true	nit	adequate	false	NO	true	nit	weak	false	NO	true	nit	adequate	false
