round	tool	slot	label	accepted_count	weighted_accepted_count	rejected_count	total_count
1	cursor	correctness	cursor-specialist-correctness-output.txt	1	1	2	3
1	codex	correctness	codex-specialist-correctness-output.txt	0	0	3	4
1	cursor	edge-cases	cursor-specialist-edge-cases-output.txt	1	2	3	4
1	codex	edge-cases	codex-specialist-edge-cases-output.txt	1	2	1	3
1	cursor	testing	cursor-specialist-testing-output.txt	7	8	2	10
1	codex	testing	codex-specialist-testing-output.txt	2	3	1	4
1	cursor	dyn-dyn-arch-knowledge	dyn-dyn-arch-knowledge-output.txt	1	1	2	6
1	codex	dyn-dyn-arch-knowledge-codex	dyn-dyn-arch-knowledge-codex-output.txt	0	0	0	0
2	cursor	testing	cursor-specialist-testing-output.txt	2	2	6	11
2	codex	testing	codex-specialist-testing-output.txt	2	2	0	2
