archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
security	security	1	4	2	2	0.500000
security	security	1	3	3	0	1.000000
correctness	correctness	1	6	6	0	1.000000
correctness	correctness	1	4	3	0	0.750000
edge-cases	correctness	1	5	3	2	0.600000
edge-cases	correctness	1	3	3	0	1.000000
testing	risk-integration	1	8	6	0	0.750000
testing	risk-integration	1	2	2	0	1.000000
dyn-log-schema-migration	architecture	1	7	5	2	0.714286
dyn-log-schema-migration-codex	architecture	1	0	0	0	n/a
dyn-artifact-gate-regression	risk-integration	1	3	1	1	0.333333
dyn-artifact-gate-regression-codex	risk-integration	1	0	0	0	n/a
