finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	scope
FINDING_1	cursor-specialist-correctness-output.txt|dyn-dyn-prompt-sync-output.txt	rejected	NO	true	major	good	false	cursor-validity	NO	true	minor	adequate	false	cursor-plan-fidelity	NO	true	minor	good	false	cursor-pragmatism	in_scope
FINDING_2	cursor-specialist-correctness-output.txt	rejected	NO	true		excellent	true	cursor-validity	NO	true	minor	good	false	cursor-plan-fidelity	NO	true	minor	good	false	cursor-pragmatism	in_scope
FINDING_3	cursor-specialist-correctness-output.txt|dyn-dyn-prompt-sync-output.txt	rejected	NO	true	nit	adequate	false	cursor-validity	NO	true	nit	adequate	false	cursor-plan-fidelity	NO	true	nit	adequate	false	cursor-pragmatism	oos
FINDING_4	cursor-specialist-correctness-output.txt	rejected	NO	true	nit	adequate	false	cursor-validity	NO	true	nit	adequate	false	cursor-plan-fidelity	NO	true	nit	adequate	false	cursor-pragmatism	oos
FINDING_5	cursor-specialist-correctness-output.txt	rejected	NO	true	nit	no-fix	false	cursor-validity	NO	true	nit	no-fix	false	cursor-plan-fidelity	NO	true	nit	no-fix	false	cursor-pragmatism	oos
FINDING_6	codex-specialist-correctness-output.txt	accepted	YES	true	blocker	excellent	false	cursor-validity	YES	true	blocker	excellent	false	cursor-plan-fidelity	YES	true	blocker	excellent	false	cursor-pragmatism	in_scope
FINDING_7	codex-specialist-correctness-output.txt	accepted	YES	true	blocker	excellent	false	cursor-validity	YES	true	blocker	excellent	false	cursor-plan-fidelity	YES	true	blocker	excellent	false	cursor-pragmatism	in_scope
FINDING_8	codex-specialist-edge-cases-output.txt|codex-specialist-testing-output.txt	rejected	NO	true		good	true	cursor-validity	NO	true	minor	good	false	cursor-plan-fidelity	NO	true	minor	good	false	cursor-pragmatism	in_scope
FINDING_9	cursor-specialist-testing-output.txt	rejected	NO	true		excellent	true	cursor-validity	NO	true	minor	good	false	cursor-plan-fidelity	NO	true	minor	good	false	cursor-pragmatism	in_scope
FINDING_10	cursor-specialist-testing-output.txt	rejected	NO	true	nit	adequate	false	cursor-validity	NO	partially-true	nit	adequate	false	cursor-plan-fidelity	NO	true	nit	adequate	false	cursor-pragmatism	oos
FINDING_11	codex-specialist-testing-output.txt	rejected	NO	true		good	true	cursor-validity	NO	true	minor	good	false	cursor-plan-fidelity	NO	partially-true	minor	good	false	cursor-pragmatism	in_scope
FINDING_12	dyn-dyn-prompt-sync-output.txt	rejected	NO	true		good	true	cursor-validity	NO	true	minor	good	false	cursor-plan-fidelity	NO	true	minor	good	false	cursor-pragmatism	in_scope
FINDING_13	dyn-dyn-prompt-sync-output.txt	rejected	NO	partially-true		adequate	true	cursor-validity	NO	true		no-fix	true	cursor-plan-fidelity	NO	partially-true		weak	true	cursor-pragmatism	oos
