finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain
FINDING_1	cursor-specialist-correctness-output.txt|codex-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|codex-specialist-edge-cases-output.txt|cursor-specialist-testing-output.txt|codex-specialist-testing-output.txt|dyn-research-parity-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_10	codex-specialist-edge-cases-output.txt	accepted	YES	true	major	good	false	YES	true	major	adequate	false	YES	true	major	adequate	false
FINDING_11	codex-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt	neutral	NO	false-positive	nit	weak	false	YES	true	minor	adequate	false	NO	true	nit	adequate	false
FINDING_12	cursor-specialist-edge-cases-output.txt	rejected	NO	partially-true	nit	weak	false	NO	true	minor	good	false	NO	partially-true	nit	adequate	false
FINDING_13	cursor-specialist-edge-cases-output.txt|cursor-specialist-testing-output.txt|dyn-test-replacement-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_14	cursor-specialist-testing-output.txt|dyn-test-replacement-output.txt	accepted	YES	true	major	good	false	YES	true	major	adequate	false	NO	true	minor	good	false
FINDING_15	cursor-specialist-testing-output.txt|dyn-test-replacement-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	NO	true	minor	good	false
FINDING_16	cursor-specialist-testing-output.txt|dyn-callsite-cutover-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_17	cursor-specialist-testing-output.txt	neutral	NO	uncertain	minor	adequate	true	NO	partially-true	nit	adequate	false	YES	true	major	excellent	false
FINDING_18	dyn-callsite-cutover-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_19	dyn-callsite-cutover-output.txt	accepted	YES	true	major	good	false	YES	true	minor	good	false	YES	true	major	good	false
FINDING_2	codex-specialist-correctness-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_3	codex-specialist-correctness-output.txt|codex-specialist-edge-cases-output.txt|codex-specialist-testing-output.txt	accepted	YES	true	major	excellent	false	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_4	cursor-specialist-edge-cases-output.txt|dyn-research-parity-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_5	codex-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|codex-specialist-edge-cases-output.txt|codex-specialist-testing-output.txt|dyn-research-parity-output.txt	accepted	YES	true	major	excellent	false	YES	true	major	excellent	false	YES	true	major	good	false
FINDING_6	codex-specialist-correctness-output.txt|codex-specialist-edge-cases-output.txt|codex-specialist-testing-output.txt|dyn-research-parity-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_7	dyn-research-parity-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_8	dyn-research-parity-output.txt	accepted	YES	true	minor	adequate	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_9	dyn-research-parity-output.txt	accepted	YES	true	major	good	false	YES	partially-true	major	good	false	YES	true	major	good	false
OOS_1	cursor-specialist-edge-cases-output.txt|dyn-callsite-cutover-output.txt	rejected	NO	true	nit	adequate	false	NO	true	nit	adequate	false	NO	true	nit	adequate	false
OOS_2	dyn-test-replacement-output.txt	rejected	NO	true	nit	no-fix	false	NO	true	nit	no-fix	false	NO	true	nit	no-fix	false
OOS_3	dyn-research-parity-output.txt	rejected	NO	true	nit	adequate	false	NO	true	nit	no-fix	false	NO	partially-true	nit	adequate	false
