archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
structure	code-quality	1	7	3	0	0.428571
correctness	correctness	1	4	4	0	1.000000
testing	risk-integration	1	4	2	0	0.500000
security	security	1	1	0	0	0.000000
edge-cases	correctness	1	4	3	0	0.750000
plan-fidelity	architecture	1	1	1	0	1.000000
dyn-bash-state	correctness	1	2	2	0	1.000000
dyn-repo-routing	risk-integration	1	2	1	0	0.500000
dyn-summary-contracts	risk-integration	1	2	1	0	0.500000
dyn-pause-recovery	correctness	1	2	0	0	0.000000
dyn-shell-parsing	security	1	3	2	0	0.666667
