finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain
FINDING_1	cursor-specialist-security-output.txt	exonerated	EXONERATE	true	minor	no-fix	false	EXONERATE	partially-true	minor	weak	false	EXONERATE	true	minor	adequate	false
FINDING_10	codex-specialist-edge-cases-output.txt	accepted	YES	true		adequate	true	YES	true	minor	good	false	EXONERATE	true	minor	adequate	false
FINDING_11	codex-specialist-edge-cases-output.txt	accepted	YES	true		adequate	true	YES	true	minor	good	false	YES	true	minor	good	false
FINDING_12	codex-specialist-testing-output.txt	neutral	EXONERATE	uncertain	minor	adequate	true	NO	uncertain	minor	adequate	true	YES	true	major	good	false
FINDING_13	codex-specialist-testing-output.txt|dyn-design-flow-output.txt	accepted	YES	true	minor	adequate	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_14	codex-specialist-testing-output.txt|dyn-runtime-compat-output.txt	accepted	EXONERATE	true	minor	weak	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_15	dyn-design-flow-output.txt	neutral	NO		uncertain	uncertain	true	YES	true	major	adequate	false	EXONERATE	true	minor	weak	false
FINDING_16	dyn-design-flow-output.txt	accepted	YES	true	minor	adequate	false	YES	true	minor	adequate	false	YES	true	major	good	false
FINDING_17	dyn-design-flow-output.txt|dyn-runtime-compat-output.txt	accepted	YES	true	minor	adequate	false	YES	true	minor	good	false	YES	true	minor	good	false
FINDING_18	dyn-design-flow-output.txt|dyn-runtime-compat-output.txt	exonerated	EXONERATE	true		no-fix	true	EXONERATE	true	nit	no-fix	false	NO	true	nit	no-fix	false
FINDING_19	dyn-design-flow-output.txt|dyn-runtime-compat-output.txt	rejected	NO		uncertain	uncertain	true	NO	true	nit	no-fix	false	NO	partially-true	nit	no-fix	false
FINDING_2	cursor-specialist-security-output.txt|codex-specialist-security-output.txt|dyn-autofix-launch-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_20	dyn-autofix-launch-output.txt	accepted	EXONERATE	partially-true		adequate	true	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_21	dyn-autofix-launch-output.txt	accepted	YES	true	minor	adequate	false	YES	true	minor	adequate	false	EXONERATE	true	minor	adequate	false
FINDING_22	dyn-autofix-launch-output.txt	exonerated	YES	true	minor	adequate	false	EXONERATE	partially-true	nit	adequate	false	EXONERATE	true	nit	adequate	false
FINDING_23	dyn-autofix-launch-output.txt	rejected	NO		uncertain	uncertain	true	YES	partially-true	minor	weak	true	NO	true	nit	no-fix	false
FINDING_24	dyn-autofix-launch-output.txt	rejected	NO		uncertain	uncertain	true	NO	true	nit	no-fix	false	NO	false-positive	nit	no-fix	false
FINDING_25	dyn-runtime-compat-output.txt	accepted	EXONERATE	true		adequate	true	YES	true	minor	good	false	YES	true	minor	good	false
FINDING_26	dyn-runtime-compat-output.txt	rejected	NO		uncertain	uncertain	true	NO	true	nit	no-fix	false	NO	true	nit	no-fix	false
FINDING_3	cursor-specialist-security-output.txt	accepted	YES	true	minor	adequate	false	YES	true	major	good	false	YES	true	minor	good	false
FINDING_4	cursor-specialist-security-output.txt|dyn-runtime-compat-output.txt	accepted	YES	true	minor	adequate	false	YES	true	major	adequate	false	EXONERATE	true	minor	weak	false
FINDING_5	cursor-specialist-security-output.txt	exonerated	EXONERATE	true		weak	true	YES	true	major	adequate	false	EXONERATE	true	minor	no-fix	false
FINDING_6	cursor-specialist-security-output.txt|codex-specialist-correctness-output.txt|codex-specialist-edge-cases-output.txt	accepted	EXONERATE	partially-true	minor	adequate	false	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_7	cursor-specialist-security-output.txt	exonerated	EXONERATE	true		weak	true	EXONERATE	partially-true	nit	weak	false	EXONERATE	true	minor	weak	false
FINDING_8	codex-specialist-correctness-output.txt|codex-specialist-edge-cases-output.txt|codex-specialist-testing-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	excellent	false	YES	true	major	excellent	false
FINDING_9	codex-specialist-correctness-output.txt|codex-specialist-edge-cases-output.txt	accepted	YES	true	minor	adequate	false	YES	true	major	good	false	YES	true	major	good	false
