finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain
FINDING_1	cursor-specialist-correctness-output.txt	rejected	NO	partially-true	minor	adequate	false	NO	false-positive	nit	adequate	false	NO	partially-true	major	adequate	false
FINDING_10	cursor-specialist-correctness-output.txt	accepted	YES	true	minor	good	false	YES	true	minor	adequate	false	NO	true		adequate	true
FINDING_11	cursor-specialist-correctness-output.txt|dyn-tmpdir-validation-output.txt	neutral	YES	true	minor	adequate	false	NO	true	minor	adequate	false	NO	true		adequate	true
FINDING_12	dyn-tmpdir-validation-output.txt	rejected	NO	partially-true	nit	weak	true	NO	partially-true	minor	no-fix	false	NO	partially-true		weak	true
FINDING_13	dyn-tmpdir-validation-output.txt	rejected	NO	partially-true	minor	adequate	false	NO	partially-true	minor	good	false	NO	partially-true	major	good	false
FINDING_14	dyn-tmpdir-validation-output.txt	rejected	NO	partially-true	minor	adequate	false	NO	false-positive	nit	adequate	false	NO	partially-true	major	excellent	false
FINDING_15	dyn-tmpdir-validation-output.txt	rejected	NO	true	minor	adequate	false	NO	true	minor	good	false	NO	true	major	good	false
FINDING_2	cursor-specialist-correctness-output.txt	rejected	NO	partially-true	nit	adequate	false	NO	partially-true	minor	adequate	false	NO	partially-true		adequate	true
FINDING_3	cursor-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt	rejected	NO	true	minor	adequate	false	NO	true	minor	adequate	false	NO	true	major	adequate	false
FINDING_4	cursor-specialist-correctness-output.txt|cursor-specialist-testing-output.txt	accepted	YES	true	major	excellent	false	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_5	codex-generic-output.txt	neutral	NO	partially-true	minor	adequate	false	YES	true	major	good	false	NO	partially-true	major	good	false
FINDING_6	dyn-process-cleanup-output.txt	rejected	NO	true	minor	adequate	false	NO	true	minor	adequate	false	NO	true	major	adequate	false
FINDING_7	dyn-process-cleanup-output.txt	neutral	NO	partially-true	minor	adequate	false	NO	true	minor	adequate	false	YES	true	major	excellent	false
FINDING_8	cursor-specialist-correctness-output.txt	accepted	YES	true	nit	good	false	NO	true	nit	adequate	false	YES	true	nit	good	false
FINDING_9	cursor-specialist-correctness-output.txt	neutral	NO	partially-true	nit	weak	true	NO	partially-true	nit	adequate	false	YES	true	nit	good	false
