finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain
FINDING_1	cursor-specialist-structure-output.txt|cursor-specialist-testing-output.txt|cursor-specialist-edge-cases-output.txt|cursor-specialist-plan-fidelity-output.txt|dyn-rc-fence-integrity-output.txt	accepted	YES	true	major	excellent	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_10	dyn-rc-fence-integrity-output.txt	accepted	YES	partially-true	minor	adequate	false	YES	true	minor	good	false	YES	true	minor	good	false
FINDING_11	cursor-specialist-plan-fidelity-output.txt	exonerated	EXONERATE	true	minor	adequate	false	YES	true	minor	adequate	false	EXONERATE	partially-true	minor	adequate	false
FINDING_12	cursor-specialist-security-output.txt	accepted	YES	partially-true	minor	adequate	true	EXONERATE	partially-true	minor	adequate	false	YES	true	minor	adequate	false
FINDING_13	cursor-specialist-security-output.txt	exonerated	EXONERATE	true	minor	weak	false	EXONERATE	partially-true	minor	weak	false	EXONERATE	true	minor	adequate	false
FINDING_14	cursor-specialist-security-output.txt	exonerated	EXONERATE	true	nit	adequate	false	EXONERATE	true	nit	adequate	false	YES	true	nit	adequate	false
FINDING_15	cursor-specialist-security-output.txt	exonerated	EXONERATE	true	minor	no-fix	false	EXONERATE	true	minor	weak	false	EXONERATE	true	minor	weak	false
FINDING_2	cursor-specialist-correctness-output.txt|cursor-specialist-plan-fidelity-output.txt|cursor-specialist-testing-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_3	cursor-specialist-testing-output.txt	accepted	YES	partially-true	major	adequate	true	YES	true	major	good	false	YES	true	major	good	false
FINDING_4	cursor-specialist-testing-output.txt|cursor-specialist-plan-fidelity-output.txt|dyn-quiet-kv-discipline-output.txt	accepted	YES	partially-true	major	adequate	true	YES	true	major	good	false	YES	true	major	adequate	false
FINDING_5	cursor-specialist-plan-fidelity-output.txt|dyn-sentinel-state-machine-output.txt	accepted	YES	true	major	good	false	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_6	cursor-specialist-testing-output.txt|cursor-specialist-plan-fidelity-output.txt|dyn-sentinel-state-machine-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_7	dyn-quiet-kv-discipline-output.txt	accepted	YES	partially-true	major	good	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_8	dyn-rc-fence-integrity-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	adequate	false
FINDING_9	dyn-rc-fence-integrity-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	good	false
OOS_1	cursor-specialist-testing-output.txt	accepted	YES	partially-true	minor	adequate	true	YES	true	minor	adequate	false	YES	true	minor	adequate	false
OOS_2	cursor-specialist-testing-output.txt	accepted	YES	partially-true	nit	adequate	false	YES	true	nit	good	false	YES	true	nit	good	false
