finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain
FINDING_1	cursor-specialist-correctness-output.txt	neutral	NO	true	minor	adequate	false	YES	true	major	good	false	NO	true	minor	adequate	false
FINDING_10	cursor-specialist-edge-cases-output.txt	accepted	YES	true	major	excellent	false	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_11	cursor-specialist-edge-cases-output.txt	accepted	YES	true	minor	good	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_12	cursor-specialist-edge-cases-output.txt	rejected	NO	false-positive	minor	adequate	true	NO	partially-true	minor	adequate	false	NO	partially-true	nit	adequate	false
FINDING_13	cursor-specialist-edge-cases-output.txt	neutral	NO	true	nit	adequate	false	NO	true	minor	good	false	YES	true	minor	good	false
FINDING_14	codex-specialist-edge-cases-output.txt	accepted	YES	true	major	excellent	false	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_15	codex-specialist-edge-cases-output.txt	accepted	NO	uncertain	minor	adequate	true	YES	true	major	good	false	YES	true	major	good	false
FINDING_16	codex-specialist-edge-cases-output.txt	rejected	NO	true	nit	adequate	false	NO	true	minor	adequate	false	NO	true	nit	weak	false
FINDING_17	codex-specialist-edge-cases-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	NO	true	nit	adequate	false
FINDING_18	cursor-specialist-testing-output.txt	accepted	YES	true	blocker	excellent	false	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_19	cursor-specialist-testing-output.txt	accepted	YES	true	major	excellent	false	YES	true	minor	good	false	YES	true	major	good	false
FINDING_2	cursor-specialist-correctness-output.txt	neutral	NO	uncertain	minor	adequate	true	NO	false-positive	nit	adequate	false	YES	true	major	good	false
FINDING_20	cursor-specialist-testing-output.txt	accepted	YES	true	major	excellent	false	YES	true	minor	good	false	YES	true	major	good	false
FINDING_21	cursor-specialist-testing-output.txt	accepted	YES	true	major	excellent	false	YES	true	minor	good	false	YES	true	major	good	false
FINDING_22	cursor-specialist-testing-output.txt	rejected	NO	true	nit	adequate	false	NO	true	minor	good	false	NO	true	nit	adequate	false
FINDING_23	cursor-specialist-testing-output.txt	rejected	NO	true	nit	adequate	false	NO	true	nit	adequate	false	NO	true	nit	adequate	false
FINDING_24	cursor-specialist-testing-output.txt	neutral	NO	true	nit	adequate	false	NO	true	nit	adequate	false	YES	true	minor	excellent	false
FINDING_25	codex-specialist-testing-output.txt	accepted	YES	true	major	excellent	false	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_26	codex-specialist-testing-output.txt	neutral	NO	partially-true	minor	adequate	true	YES	true	major	adequate	false	NO	partially-true	minor	weak	false
FINDING_27	codex-specialist-testing-output.txt	accepted	YES	true	major	good	false	NO	true	minor	adequate	false	YES	true	major	good	false
FINDING_28	codex-specialist-testing-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_29	dyn-launcher-parity-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_3	cursor-specialist-correctness-output.txt	accepted	YES	true	blocker	excellent	false	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_30	dyn-launcher-parity-output.txt	neutral	NO	partially-true	minor	adequate	false	YES	true	minor	good	false	NO	true	minor	adequate	false
FINDING_31	dyn-launcher-parity-output.txt	accepted	YES	uncertain	major	good	true	YES	true	major	good	false	YES	true	major	good	false
FINDING_32	dyn-launcher-parity-output.txt	accepted	YES	true	blocker	excellent	false	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_33	dyn-launcher-parity-output.txt	accepted	YES	true	minor	adequate	false	YES	true	minor	adequate	false	NO	true	minor	weak	false
FINDING_34	dyn-launcher-parity-output.txt	rejected	NO	true	nit	adequate	false	NO	true	nit	no-fix	false	NO	true	nit	weak	false
FINDING_35	dyn-retry-cutover-output.txt	rejected	NO	partially-true	minor	good	true	NO	true	minor	good	false	NO	partially-true	minor	adequate	false
FINDING_36	dyn-retry-cutover-output.txt	accepted	NO	true	minor	adequate	false	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_37	dyn-retry-cutover-output.txt	accepted	YES	true	major	excellent	false	YES	true	minor	good	false	YES	true	major	good	false
FINDING_38	dyn-retry-cutover-output.txt	accepted	NO	true	nit	adequate	false	YES	true	major	adequate	false	YES	true	minor	good	false
FINDING_39	dyn-retry-cutover-output.txt	accepted	YES	true	minor	adequate	false	YES	true	major	adequate	false	YES	true	major	adequate	false
FINDING_4	cursor-specialist-correctness-output.txt	rejected	NO	partially-true	minor	adequate	false	NO	true	minor	adequate	false	NO	true	minor	adequate	false
FINDING_40	dyn-retry-cutover-output.txt	rejected	NO	true	minor	adequate	false	NO	true	minor	adequate	false	NO	true	minor	weak	false
