finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain
FINDING_1	cursor-specialist-structure-output.txt	accepted	YES	true	minor	adequate	false	EXONERATE	partially-true	nit	adequate	false	YES	true	minor	adequate	false
FINDING_10	cursor-specialist-edge-cases-output.txt|dyn-python-shell-parity-output.txt	accepted	YES	true	minor	no-fix	false	EXONERATE	partially-true	minor	weak	false	YES	true	minor	adequate	false
FINDING_11	cursor-specialist-edge-cases-output.txt	exonerated	YES	true	nit	no-fix	false	EXONERATE	true	nit	adequate	false	EXONERATE	true	nit	weak	false
FINDING_12	dyn-bash-state-io-output.txt|dyn-ci-toolchain-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_13	dyn-bash-state-io-output.txt|dyn-python-shell-parity-output.txt	accepted	YES	true	minor	adequate	false	EXONERATE	partially-true	nit	adequate	false	YES	true	minor	good	false
FINDING_14	dyn-bash-state-io-output.txt	accepted	YES	true	minor	good	false	YES	true	minor	adequate	false	YES	true	minor	good	false
FINDING_15	dyn-bash-state-io-output.txt|dyn-python-shell-parity-output.txt|dyn-ci-toolchain-output.txt	rejected	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false	NO	false-positive	nit	no-fix	false
FINDING_16	dyn-bash-state-io-output.txt	accepted	YES	true	minor	adequate	false	EXONERATE	true	minor	no-fix	false	YES	true	minor	adequate	false
FINDING_17	dyn-python-shell-parity-output.txt	accepted	YES	true	minor	adequate	true	YES	true	major	good	false	YES	true	major	good	false
FINDING_18	dyn-python-shell-parity-output.txt	accepted	YES	true	minor	adequate	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_19	dyn-python-shell-parity-output.txt	exonerated	YES	true	minor	adequate	false	EXONERATE	partially-true	minor	weak	false	EXONERATE	true	minor	adequate	false
FINDING_2	cursor-specialist-structure-output.txt|cursor-specialist-testing-output.txt	accepted	YES	true	minor	adequate	false	YES	true	minor	adequate	false	YES	true	minor	adequate	false
FINDING_20	dyn-fd-contract-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	excellent	false
FINDING_21	dyn-fd-contract-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_22	dyn-fd-contract-output.txt	accepted	YES	true	nit	no-fix	false	EXONERATE	partially-true	nit	no-fix	false	YES	partially-true	nit	adequate	false
FINDING_23	dyn-fd-contract-output.txt	accepted	YES	true	nit	no-fix	false	EXONERATE	true	nit	no-fix	false	YES	true	nit	adequate	false
FINDING_24	dyn-ci-toolchain-output.txt	accepted	YES	true	major	good	false	YES	true	major	good	false	YES	true	major	good	false
FINDING_25	dyn-ci-toolchain-output.txt	accepted	YES	true	minor	no-fix	false	YES	true	minor	adequate	false	YES	true	minor	adequate	false
FINDING_3	cursor-specialist-structure-output.txt	exonerated	YES	true	minor	adequate	false	EXONERATE	true	nit	weak	false	EXONERATE	true	minor	weak	false
FINDING_4	cursor-specialist-structure-output.txt	exonerated	EXONERATE	true	nit	adequate	false	EXONERATE	true	nit	weak	false	EXONERATE	true	nit	weak	false
FINDING_5	cursor-specialist-testing-output.txt|cursor-specialist-edge-cases-output.txt	accepted	YES	true	minor	adequate	false	YES	true	minor	adequate	false	YES	true	minor	adequate	false
FINDING_6	cursor-specialist-security-output.txt	accepted	YES	true	minor	no-fix	false	YES	true	major	no-fix	false	YES	true	major	adequate	false
FINDING_7	cursor-specialist-edge-cases-output.txt	accepted	YES	true	minor	adequate	true	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_8	cursor-specialist-edge-cases-output.txt	exonerated	EXONERATE	partially-true	nit	weak	true	YES	true	minor	good	false	EXONERATE	partially-true	nit	weak	false
FINDING_9	cursor-specialist-edge-cases-output.txt	exonerated	EXONERATE	true	nit	weak	false	YES	true	minor	adequate	false	EXONERATE	partially-true	nit	weak	false
