archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
structure	code-quality	1	4	3	0	0.750000
correctness	correctness	1	3	3	0	1.000000
testing	risk-integration	1	3	3	0	1.000000
security	security	1	2	1	0	0.500000
edge-cases	correctness	1	4	3	0	0.750000
plan-fidelity	architecture	1	3	3	0	1.000000
dyn-fd-routing	risk-integration	1	3	3	0	1.000000
dyn-state-kv	correctness	1	3	3	0	1.000000
dyn-ship-cutover	architecture	1	3	3	0	1.000000
dyn-artifact-globs	security	1	2	2	0	1.000000
dyn-pr-base	risk-integration	1	3	3	0	1.000000
