round	tool	slot	label	accepted_count
1	cursor	correctness	cursor-specialist-correctness-output.txt	2
1	codex	correctness	codex-specialist-correctness-output.txt	1
1	cursor	edge-cases	cursor-specialist-edge-cases-output.txt	0
1	codex	edge-cases	codex-specialist-edge-cases-output.txt	0
1	cursor	testing	cursor-specialist-testing-output.txt	0
1	codex	testing	codex-specialist-testing-output.txt	0
1	cursor	dyn-summary-visibility	dyn-summary-visibility-output.txt	0
1	codex	dyn-summary-visibility-codex	dyn-summary-visibility-codex-output.txt	0
1	cursor	dyn-structure-pins	dyn-structure-pins-output.txt	0
1	codex	dyn-structure-pins-codex	dyn-structure-pins-codex-output.txt	0
