archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
structure	code-quality	1	0	0	0	n/a
correctness	correctness	1	1	0	0	0.000000
testing	risk-integration	1	4	0	0	0.000000
security	security	1	0	0	0	n/a
edge-cases	correctness	1	2	1	0	0.500000
plan-fidelity	architecture	1	1	0	0	0.000000
dyn-bash-state	correctness	1	3	2	0	0.666667
dyn-final-report-flow	risk-integration	1	2	2	0	1.000000
dyn-python-closes	correctness	1	1	1	0	1.000000
dyn-contract-sync	architecture	1	2	1	0	0.500000
