finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v1_tool	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v2_tool	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain	v3_tool	scope
FINDING_1	cursor-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|cursor-specialist-testing-output.txt	accepted	YES	true	major	excellent	false	cursor-validity	YES	true	major	good	false	codex-plan-fidelity	YES	true	major	good	false	codex-pragmatism	in_scope
FINDING_2	codex-specialist-correctness-output.txt	rejected	NO	partially-true	minor	adequate	false	cursor-validity	NO	false-positive	nit	good	false	codex-plan-fidelity	NO	false-positive	nit	no-fix	false	codex-pragmatism	in_scope
FINDING_3	codex-specialist-correctness-output.txt	rejected	NO	true	minor	good	false	cursor-validity	NO	partially-true	minor	good	false	codex-plan-fidelity	NO	partially-true	minor	no-fix	false	codex-pragmatism	in_scope
FINDING_4	codex-specialist-correctness-output.txt|codex-specialist-edge-cases-output.txt	rejected	NO	partially-true	minor	good	false	cursor-validity	NO	partially-true	minor	adequate	false	codex-plan-fidelity	NO	partially-true	minor	no-fix	false	codex-pragmatism	in_scope
FINDING_5	cursor-specialist-edge-cases-output.txt	neutral	YES	true	major	adequate	false	cursor-validity	NO	partially-true	major	adequate	false	codex-plan-fidelity	NO	partially-true	major	no-fix	false	codex-pragmatism	oos
FINDING_6	cursor-specialist-edge-cases-output.txt|dyn-dyn-composite-routing-output.txt	neutral	YES	true	nit	excellent	false	cursor-validity	NO	partially-true	nit	adequate	false	codex-plan-fidelity	NO	partially-true	nit	no-fix	false	codex-pragmatism	oos
FINDING_7	cursor-specialist-testing-output.txt|dyn-dyn-timeout-process-groups-output.txt	rejected	NO	true	nit	adequate	false	cursor-validity	NO	partially-true	nit	adequate	false	codex-plan-fidelity	NO	partially-true	nit	no-fix	false	codex-pragmatism	oos
FINDING_8	cursor-specialist-testing-output.txt	rejected	NO	true	nit	good	false	cursor-validity	NO	partially-true	nit	adequate	false	codex-plan-fidelity	NO	partially-true	nit	no-fix	false	codex-pragmatism	oos
FINDING_9	cursor-specialist-testing-output.txt|dyn-dyn-composite-routing-output.txt	rejected	NO	true	nit	good	false	cursor-validity	NO	partially-true	nit	adequate	false	codex-plan-fidelity	NO	partially-true	nit	no-fix	false	codex-pragmatism	oos
FINDING_10	codex-specialist-edge-cases-output.txt|codex-generalist-output.txt|dyn-dyn-composite-routing-output.txt	accepted	YES	true	major	good	false	cursor-validity	YES	true	major	good	false	codex-plan-fidelity	YES	true	major	good	false	codex-pragmatism	in_scope
FINDING_11	codex-specialist-testing-output.txt	accepted	YES	true	major	good	false	cursor-validity	YES	true	major	good	false	codex-plan-fidelity	YES	true	major	good	false	codex-pragmatism	in_scope
FINDING_12	codex-generalist-output.txt	accepted	YES	true	major	excellent	false	cursor-validity	YES	true	major	good	false	codex-plan-fidelity	YES	true	major	good	false	codex-pragmatism	in_scope
FINDING_13	dyn-dyn-timeout-process-groups-output.txt	rejected	NO	partially-true	minor	adequate	false	cursor-validity	NO	partially-true	minor	weak	false	codex-plan-fidelity	NO	partially-true	minor	no-fix	false	codex-pragmatism	in_scope
FINDING_14	dyn-dyn-timeout-process-groups-output.txt	neutral	NO	partially-true	minor	good	false	cursor-validity	NO	uncertain	major	adequate	true	codex-plan-fidelity	YES	true	major	good	false	codex-pragmatism	in_scope
FINDING_15	dyn-dyn-timeout-process-groups-output.txt	neutral	YES	true	major	good	false	cursor-validity	NO	partially-true	major	adequate	true	codex-plan-fidelity	NO	partially-true	minor	no-fix	false	codex-pragmatism	in_scope
FINDING_16	dyn-dyn-composite-routing-output.txt	neutral	NO	true	minor	excellent	false	cursor-validity	NO	partially-true	minor	adequate	false	codex-plan-fidelity	YES	true	minor	good	false	codex-pragmatism	in_scope
FINDING_17	dyn-dyn-composite-routing-output.txt|dyn-dyn-timeout-process-groups-output.txt	rejected	NO	true	minor	adequate	false	cursor-validity	NO	partially-true	minor	adequate	false	codex-plan-fidelity	NO	false-positive	nit	no-fix	false	codex-pragmatism	oos
FINDING_18	dyn-dyn-timeout-process-groups-output.txt	rejected	NO	true	nit	good	false	cursor-validity	NO	partially-true	nit	adequate	false	codex-plan-fidelity	NO	partially-true	minor	no-fix	false	codex-pragmatism	oos
