archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	3	2	1	0.666667
correctness	correctness	1	2	2	0	1.000000
edge-cases	correctness	1	2	2	0	1.000000
edge-cases	correctness	1	1	0	1	0.000000
testing	risk-integration	1	2	2	0	1.000000
testing	risk-integration	1	2	1	1	0.500000
dyn-quiet-fd-parity	correctness	1	1	1	0	1.000000
dyn-quiet-fd-parity-codex	correctness	1	0	0	0	n/a
dyn-resource-double-parse	risk-integration	1	3	0	2	0.000000
dyn-resource-double-parse-codex	risk-integration	1	0	0	0	n/a
