finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain
FINDING_1	cursor-specialist-structure-output.txt|cursor-specialist-correctness-output.txt|cursor-specialist-testing-output.txt|cursor-specialist-edge-cases-output.txt|cursor-specialist-plan-fidelity-output.txt	exonerated	YES	true	major	adequate	false	EXONERATE	partially-true	nit	weak	false	EXONERATE	true	minor	adequate	false
FINDING_10	cursor-specialist-structure-output.txt|cursor-specialist-testing-output.txt|dyn-state-machine-output.txt|dyn-gh-authority-output.txt|dyn-mode-hydration-output.txt|dyn-branch-guard-output.txt	accepted	YES	true	minor	adequate	false	YES	true	major	adequate	false	YES	true	minor	good	false
FINDING_11	cursor-specialist-correctness-output.txt|cursor-specialist-security-output.txt|cursor-specialist-edge-cases-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_12	cursor-specialist-correctness-output.txt	exonerated	EXONERATE	false-positive	minor	adequate	false	EXONERATE	partially-true	minor	weak	true	YES	true	major	good	false
FINDING_13	cursor-specialist-correctness-output.txt	accepted	YES	true	minor	adequate	false	EXONERATE	true	minor	weak	false	YES	true	minor	adequate	false
FINDING_14	cursor-specialist-security-output.txt|dyn-branch-guard-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_15	cursor-specialist-security-output.txt|dyn-branch-guard-output.txt	exonerated	EXONERATE	partially-true		weak	true	EXONERATE	partially-true	minor	weak	false	EXONERATE	partially-true	minor	weak	false
FINDING_16	cursor-specialist-security-output.txt	accepted	YES	true	minor	adequate	false	YES	true	major	adequate	false	YES	true	minor	good	false
FINDING_17	cursor-specialist-security-output.txt|dyn-gh-authority-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_18	cursor-specialist-security-output.txt	accepted	YES	true	minor	adequate	false	YES	true	minor	adequate	false	YES	true	minor	good	false
FINDING_19	cursor-specialist-security-output.txt|cursor-specialist-edge-cases-output.txt|dyn-state-machine-output.txt|dyn-gh-authority-output.txt|dyn-mode-hydration-output.txt	neutral	YES	true	minor	adequate	false	NO	true	nit	no-fix	false	EXONERATE	true	nit	weak	false
FINDING_2	cursor-specialist-structure-output.txt	exonerated	EXONERATE	uncertain	minor	adequate	true	EXONERATE	true	nit	weak	false	EXONERATE	true	nit	good	false
FINDING_20	cursor-specialist-edge-cases-output.txt|dyn-state-machine-output.txt|dyn-gh-authority-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_21	cursor-specialist-edge-cases-output.txt	accepted	YES	true	minor	adequate	false	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_22	cursor-specialist-edge-cases-output.txt	exonerated	EXONERATE	true	nit	adequate	false	EXONERATE	true	nit	weak	false	EXONERATE	true	nit	adequate	false
FINDING_23	cursor-specialist-edge-cases-output.txt	accepted	YES	true	minor	adequate	false	EXONERATE	partially-true	minor	weak	false	YES	true	major	good	false
FINDING_24	dyn-state-machine-output.txt	accepted	YES	uncertain	major	weak	true	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_25	dyn-state-machine-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_26	dyn-gh-authority-output.txt|dyn-mode-hydration-output.txt|dyn-branch-guard-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	adequate	false	YES	true	major	good	false
FINDING_27	dyn-gh-authority-output.txt	rejected	NO	false-positive	nit	no-fix	false	NO	true	nit	no-fix	false	NO	partially-true	nit	no-fix	false
FINDING_28	dyn-counter-durability-output.txt	accepted	YES	uncertain	major	adequate	true	NO	false-positive	nit	weak	false	YES	true	major	good	false
FINDING_29	dyn-counter-durability-output.txt	accepted	YES	uncertain	major	adequate	true	EXONERATE	uncertain	minor	weak	true	YES	true	major	good	false
FINDING_3	cursor-specialist-structure-output.txt|cursor-specialist-correctness-output.txt|cursor-specialist-testing-output.txt|cursor-specialist-edge-cases-output.txt|cursor-specialist-plan-fidelity-output.txt	accepted	YES	true	major	adequate	false	YES	true	major	adequate	false	YES	true	major	good	false
