archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
structure	code-quality	1	7	5	0	0.714286
correctness	correctness	1	1	1	0	1.000000
testing	risk-integration	1	5	4	0	0.800000
security	security	1	3	2	0	0.666667
edge-cases	correctness	1	11	10	0	0.909091
plan-fidelity	architecture	1	6	6	0	1.000000
dyn-bash-parity	correctness	1	6	5	1	0.833333
dyn-git-safety	risk-integration	1	4	4	0	1.000000
dyn-runlog-recovery	correctness	1	3	3	0	1.000000
dyn-timing-ledger	risk-integration	1	5	3	0	0.600000
dyn-state-resume	architecture	1	3	3	0	1.000000
dyn-shell-portability	code-quality	1	0	0	0	n/a
