archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
structure	code-quality	1	4	2	0	0.500000
correctness	correctness	1	3	3	0	1.000000
testing	risk-integration	1	3	3	0	1.000000
security	security	1	3	1	0	0.333333
edge-cases	correctness	1	5	4	0	0.800000
plan-fidelity	architecture	1	4	2	0	0.500000
dyn-ship-state	risk-integration	1	5	3	0	0.600000
dyn-bash32	code-quality	1	3	3	0	1.000000
dyn-prompt-safety	security	1	2	1	0	0.500000
dyn-plan-voting	correctness	1	7	5	0	0.714286
dyn-contract-drift	architecture	1	5	4	0	0.800000
