finding_id	reviewer_slots	voting_result	v1_vote	v1_correctness	v1_severity	v1_quality	v1_uncertain	v2_vote	v2_correctness	v2_severity	v2_quality	v2_uncertain	v3_vote	v3_correctness	v3_severity	v3_quality	v3_uncertain
FINDING_1	cursor-specialist-structure-output.txt|cursor-specialist-correctness-output.txt|cursor-specialist-testing-output.txt|cursor-specialist-edge-cases-output.txt|cursor-specialist-plan-fidelity-output.txt|cursor-specialist-security-output.txt	exonerated	NO	false-positive	minor	weak	false	EXONERATE	true	minor	adequate	false	EXONERATE	true	minor	good	false
FINDING_10	cursor-specialist-testing-output.txt	exonerated	EXONERATE	true	nit	weak	false	EXONERATE	true	nit	adequate	false	EXONERATE	true	nit	adequate	false
FINDING_11	cursor-specialist-edge-cases-output.txt	exonerated	EXONERATE	true	nit	weak	false	EXONERATE	true	nit	weak	false	EXONERATE	true	nit	weak	false
FINDING_2	cursor-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|dyn-exit-site-mapping-output.txt	accepted	YES	true	major	good	false	YES	true	major	excellent	false	YES	true	major	excellent	false
FINDING_3	dyn-orchestrator-bash-hazard-output.txt	accepted	YES	true	major	good	false	YES	true	major	excellent	false	YES	true	major	excellent	false
FINDING_4	dyn-exit-site-mapping-output.txt	accepted	YES	true	major	good	false	YES	true	major	excellent	false	YES	true	major	excellent	false
FINDING_5	cursor-specialist-correctness-output.txt|cursor-specialist-edge-cases-output.txt|cursor-specialist-plan-fidelity-output.txt	exonerated	EXONERATE	partially-true	nit	adequate	false	EXONERATE	partially-true	nit	adequate	false	EXONERATE	partially-true	minor	adequate	false
FINDING_6	cursor-specialist-edge-cases-output.txt	exonerated	EXONERATE	true	minor	weak	false	EXONERATE	partially-true	minor	weak	false	EXONERATE	partially-true	minor	adequate	false
FINDING_7	cursor-specialist-testing-output.txt	exonerated	EXONERATE	true	minor	weak	false	YES	true	minor	good	false	EXONERATE	true	minor	good	false
FINDING_8	cursor-specialist-testing-output.txt	accepted	YES	true	nit	good	false	YES	true	minor	good	false	EXONERATE	true	nit	good	false
FINDING_9	dyn-orchestrator-bash-hazard-output.txt	accepted	YES	uncertain	major	good	true	YES	true	minor	excellent	false	EXONERATE	true	minor	excellent	false
OOS_1	cursor-specialist-testing-output.txt	neutral	YES	true	nit	no-fix	false	NO	true	nit	no-fix	false	EXONERATE	true	nit	no-fix	false
OOS_2	cursor-specialist-testing-output.txt	accepted	YES	true	minor	no-fix	false	YES	true	minor	adequate	false	YES	true	minor	adequate	false
OOS_3	cursor-specialist-security-output.txt	accepted	YES	true	minor	good	false	YES	true	minor	good	false	YES	true	minor	good	false
OOS_4	cursor-specialist-security-output.txt	exonerated	EXONERATE	true	minor	weak	false	EXONERATE	true	minor	weak	false	EXONERATE	true	minor	adequate	false
OOS_5	cursor-specialist-security-output.txt	exonerated	EXONERATE	true	minor	weak	false	NO	partially-true	nit	no-fix	false	EXONERATE	true	minor	no-fix	false
OOS_6	cursor-specialist-edge-cases-output.txt	exonerated	EXONERATE	true	nit	weak	false	EXONERATE	true	nit	adequate	false	EXONERATE	true	minor	adequate	false
OOS_7	cursor-specialist-edge-cases-output.txt|dyn-exit-site-mapping-output.txt	accepted	YES	true	minor	adequate	false	YES	true	minor	good	false	YES	true	minor	good	false
